Year,1 Total wastewater generated1000 m3/d,10 Wastewater treated in urban wastewater treatment plants1000 m3/d,"11 Of which:
    Primary treatment1000 m3/d",12 Secondary treatment1000 m3/d,13 Tertiary treatment1000 m3/d,14 Wastewater treated in other treatment plants1000 m3/d,"15 Of which:
    Primary treatment1000 m3/d",16 Secondary treatment1000 m3/d,17 Tertiary treatment1000 m3/d,18 Wastewater treated in independent treatment facilities1000 m3/d,19 Non-treated wastewater1000 m3/d,"2 by:
       Agriculture, forestry and fishing ISIC (01-03)1000 m3/d",20 Sewage sludge production (dry matter)1000 t,3 Mining and quarrying (ISIC 05-09)1000 m3/d,4 Manufacturing (ISIC 10-33)1000 m3/d,"5    Electricity, gas, steam and air conditioning supply  (ISIC 35)1000 m3/d","6 of which by:
Electric power generation, transmission and distribution (ISIC 351)1000 m3/d",7 Construction (ISIC 41-43)1000 m3/d,8 Other economic activities1000 m3/d,9 Households1000 m3/d
1990,,5071.200195,,,,,,,,,,,,,,,,,,
1995,,13749.59961,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2015,32600.0,10470.0,,,,,,,,,,24300.0,,,2500.0,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2019,,14013.15,2178.36,10304.66,1530.14,,,,,,,,,,,,,,,
