Year,Total,Male,Femal,Rural,Urban
1950,20451978,10381760,10070228,14099948,6613383
1951,20948601,10638072,10310528,14320220,6894794
1952,21473798,10909309,10564483,14553593,7193215
1953,22028134,11195254,10832878,14800269,7508829
1954,22611510,11495505,11115997,15058949,7842649
1955,23223124,11809456,11413669,15328618,8194766
1956,23861519,12136293,11725216,15607477,8565395
1957,24524530,12475054,12049477,15894142,8953680
1958,25209462,12824564,12384895,16185754,9359722
1959,25913230,13183569,12729658,16480084,9782613
1960,26632894,13550850,13082041,16774662,10221871
1961,27366237,13925376,13440863,17126130,10618582
1962,28112256,14306430,13805828,17495938,11010238
1963,28871383,14693713,14177670,17868348,11412902
1964,29644875,15087126,14557749,18243760,11827342
1965,30433022,15486306,14946718,18622582,12253382
1966,31237600,15891961,15345636,19005262,12692354
1967,32056510,16303206,15753300,19390540,13143481
1968,32881848,16716331,16165521,19773385,13603874
1969,33703139,17126508,16576619,20148019,14068807
1970,34513850,17530808,16983043,20510202,14536071
1971,35311910,17928044,17383861,20858906,15004476
1972,36102659,18320821,17781849,21197246,15476396
1973,36896554,18714781,18181770,21532164,15955903
1974,37708146,19117779,18590365,21871828,16450194
1975,38549142,19535952,19013181,22223120,16964582
1976,39422730,19971532,19451199,22587697,17501335
1977,40329589,20424520,19905069,23052903,17973574
1978,41275736,20896136,20379592,23595817,18408838
1979,42267435,21387075,20880354,24163678,18864138
1980,43309063,21897956,21411107,24758241,19340901
1981,44400113,22427856,21972257,25378320,19838186
1982,45539296,22977292,22562003,26023701,20355919
1983,46728286,23549681,23178603,26697777,20896779
1984,47968642,24149412,23819231,27404797,21464154
1985,49258732,24778363,24480363,28145985,22059000
1986,50602354,25438969,25163391,28924107,22683596
1987,51991700,26126814,25864882,29782134,23284095
1988,53399246,26828519,26570724,30686154,23861142
1989,54788685,27526073,27262607,31581585,24424988
1990,56134475,28206576,27927902,32450634,24961581
1991,57424549,28864813,28559739,33286280,25466110
1992,58666814,29504233,29162579,34093157,25942379
1993,59880658,30131407,29749249,34878644,26396957
1994,61095804,30756962,30338842,35656107,26839638
1995,62334034,31388895,30945130,36435885,27278501
1996,63601629,32028821,31572811,37219192,27714264
1997,64892270,32674778,32217491,37932213,28218904
1998,66200269,33327170,32873089,38604731,28773325
1999,67515591,33985719,33529872,39288516,29338148
2000,68831561,34650424,34181137,39988667,29917321
2001,70152661,35324564,34828098,40711513,30515427
2002,71485043,36009890,35475154,41457204,31132914
2003,72826097,36703210,36122892,42217976,31763966
2004,74172073,37399737,36772336,42982044,32399855
2005,75523569,38097625,37425951,43742795,33035354
2006,76873663,38792844,38080826,44493461,33665587
2007,78232126,39490813,38741311,45274468,34262785
2008,79636079,40210318,39425763,46096587,34857294
2009,81134798,40976505,40158284,46973046,35491976
2010,82761235,41806220,40955024,47925009,36182597
2011,84529252,42706357,41822894,48961610,36935951
2012,86422243,43668307,42753933,50100764,37712493
2013,88404646,44674003,43730649,51286648,38520785
2014,90424656,45697164,44727504,52480985,39331581
2015,92442547,46717678,45724871,53654843,40123329
2016,94447073,47729770,46717301,54799311,40889370
2017,96442591,48735775,47706815,55893406,41659745
2018,98423598,49733474,48690128,56938212,42437529
