Year,"Government agencies, Water Companies thousand cubic meters","Housing units, Water Companies thousand cubic meters","Investment Companies Places, Water Companies thousand cubic meters","Loss networks, Water Companies thousand cubic meters","Manufacturing Plants, Large, Water Companies thousand cubic meters","Number of subscriptions, Water Companies thousand cubic meters","Other (Non-residential units), Water Companies thousand cubic meters","Shops, Water Companies thousand cubic meters","Total Water consumed, Water Companies thousand cubic meters","Total water produced, Water Companies thousand cubic meters","Workshops and factories, Small, Water Companies thousand cubic meters"
2007,49110,131482,1420,51341,2819,995716,19091,5720,210469,261810,827
2008,51311,142927,993,60224,3062,1244368,7382,6443,213524,273748,1406
2009,62107,215603,2999,81571,5594,943658,8563,8001,306867,388438,4000
2010,20269,275218,3958,81152,5597,989272,361,14732,324336,405488,4201
2011,18356,288779,4000,21236,4230,1017995,237,10500,328107,349343,2005
2012,21351,309878,4086,88025,4330,1048093,3442,13809,358901,446926,2005
2013,3794,329582,19285,93426,2000,1078847,1000,16803,372502,465928,38
