Year,"Government agencies, New Cities thousand cubic meters","Government agencies, Water Companies thousand cubic meters","Housing units, New Cities thousand cubic meters","Housing units, Water Companies thousand cubic meters","Investment Companies Places, New Cities thousand cubic meters","Investment Companies Places, Water Companies thousand cubic meters","Loss networks, New Cities thousand cubic meters","Loss networks, Water Companies thousand cubic meters","Manufacturing Plants, Large, New Cities thousand cubic meters","Manufacturing Plants, Large, Water Companies thousand cubic meters","Number of subscriptions, New Cities thousand cubic meters","Number of subscriptions, Water Companies thousand cubic meters","Other (Non-residential units), New Cities thousand cubic meters","Other (Non-residential units), Water Companies thousand cubic meters","Shops, New Cities thousand cubic meters","Shops, Water Companies thousand cubic meters","Total Water consumed, New Cities thousand cubic meters","Total Water consumed, Water Companies thousand cubic meters","Total water produced, New Cities thousand cubic meters","Total water produced, Water Companies thousand cubic meters","Workshops and factories, Small, New Cities thousand cubic meters","Workshops and factories, Small, Water Companies thousand cubic meters"
2007,655.0,38667.0,1624.0,93948.0,17.0,1432.0,520.0,38069.0,32.0,1862.0,5425.0,580627.0,52.0,2368.0,79.0,4150.0,2476.0,143244.0,2996.0,181313.0,17.0,817.0
2008,597.0,37665.0,1624.0,94595.0,19.0,999.0,528.0,37925.0,35.0,1855.0,6040.0,1178970.0,50.0,2568.0,69.0,4566.0,2460.0,142676.0,2988.0,180601.0,66.0,428.0
2009,,37911.0,,95051.0,,1300.0,,30042.0,,1915.0,,616707.0,,3298.0,,4719.0,,144694.0,,174736.0,,500.0
2010,,38940.0,,94260.0,,1006.0,,38196.0,,1868.0,,654649.0,,2586.0,,4598.0,,143689.0,,181885.0,,431.0
2011,,38957.0,,94980.0,,1014.0,,38487.0,,1882.0,,6963297.0,,2886.0,,4633.0,,144786.0,,183273.0,,434.0
2012,,17888.0,,115272.0,,1726.0,,40032.0,,2194.0,,730922.0,,4714.0,,3621.0,,152084.0,,192116.0,,6669.0
2013,,14146.0,,128526.0,,907.0,,41351.0,,9576.0,,766397.0,,6051.0,,10742.0,,170560.0,,211911.0,,612.0
