Year,"Government agencies, City Councils thousand cubic meters","Government agencies, Water Companies thousand cubic meters","Housing units, City Councils thousand cubic meters","Housing units, Water Companies thousand cubic meters","Investment Companies Places, City Councils thousand cubic meters","Investment Companies Places, Water Companies thousand cubic meters","Loss networks, City Councils thousand cubic meters","Loss networks, Water Companies thousand cubic meters","Manufacturing Plants, Large, City Councils thousand cubic meters","Manufacturing Plants, Large, Water Companies thousand cubic meters","Number of subscriptions, City Councils thousand cubic meters","Number of subscriptions, Water Companies thousand cubic meters","Other (Non-residential units), City Councils thousand cubic meters","Other (Non-residential units), Water Companies thousand cubic meters","Shops, City Councils thousand cubic meters","Shops, Water Companies thousand cubic meters","Total Water consumed, City Councils thousand cubic meters","Total Water consumed, Water Companies thousand cubic meters","Total water produced, City Councils thousand cubic meters","Total water produced, Water Companies thousand cubic meters","Workshops and factories, Small, City Councils thousand cubic meters","Workshops and factories, Small, Water Companies thousand cubic meters"
2007,44959.0,,108830.0,,1161.0,,44100.0,,2157.0,,29868.0,,2987.0,,5309.0,,165900.0,,210000.0,,497.0,
2008,90453.0,,218957.0,,2336.0,,88725.0,,4339.0,,29868.0,,6008.0,,10681.0,,333775.0,,422500.0,,1001.0,
2009,,93451.0,,253458.0,,4150.0,,101325.0,,5513.0,,29868.0,,9871.0,,12521.0,,381175.0,,482500.0,,2211.0
2010,,119463.0,,289181.0,,3085.0,,131675.0,,5731.0,,29868.0,,7937.0,,14106.0,,440825.0,,572500.0,,1322.0
2011,,125148.0,,295560.0,,4008.0,,120225.0,,5443.0,,29868.0,,6478.0,,14320.0,,452275.0,,572500.0,,1318.0
2012,,125121.0,,295444.0,,4113.0,,55797.0,,5311.0,,29868.0,,5932.0,,14313.0,,451453.0,,507250.0,,1219.0
2013,,90121.0,,282034.0,,2117.0,,94004.0,,1813.0,,29868.0,,3911.0,,12131.0,,393246.0,,487250.0,,1119.0
