Year,"Government agencies, New Cities thousand cubic meters","Government agencies, Water Companies thousand cubic meters","Housing units, New Cities thousand cubic meters","Housing units, Water Companies thousand cubic meters","Investment Companies Places, New Cities thousand cubic meters","Investment Companies Places, Water Companies thousand cubic meters","Loss networks, New Cities thousand cubic meters","Loss networks, Water Companies thousand cubic meters","Manufacturing Plants, Large, New Cities thousand cubic meters","Manufacturing Plants, Large, Water Companies thousand cubic meters","Number of subscriptions, New Cities thousand cubic meters","Number of subscriptions, Water Companies thousand cubic meters","Other (Non-residential units), New Cities thousand cubic meters","Other (Non-residential units), Water Companies thousand cubic meters","Shops, New Cities thousand cubic meters","Shops, Water Companies thousand cubic meters","Total Water consumed, New Cities thousand cubic meters","Total Water consumed, Water Companies thousand cubic meters","Total water produced, New Cities thousand cubic meters","Total water produced, Water Companies thousand cubic meters","Workshops and factories, Small, New Cities thousand cubic meters","Workshops and factories, Small, Water Companies thousand cubic meters"
2007,1787.0,483133.0,54943.0,1169504.0,19125.0,12480.0,57056.0,473903.0,1635.0,23176.0,97405.0,98588.0,22255.0,32090.0,1418.0,57049.0,102261.0,1782780.0,159317.0,2256683.0,1098.0,5348.0
2008,25583.0,399882.0,70955.0,1312156.0,7172.0,13865.0,26110.0,523498.0,3286.0,23955.0,113454.0,1223161.0,18238.0,4525.0,5339.0,50983.0,131019.0,1810366.0,157129.0,2333864.0,446.0,5000.0
2009,,212479.0,,825129.0,,29969.0,,742501.0,,32831.0,,949662.0,,9629.0,,139954.0,,1275457.0,,2017958.0,,25466.0
2010,,286437.0,,952970.0,,26124.0,,461550.0,,51038.0,,1012168.0,,154908.0,,235469.0,,1736310.0,,2197860.0,,29364.0
2011,,243916.0,,926701.0,,22440.0,,435974.0,,74000.0,,1081195.0,,421747.0,,24416.0,,1743894.0,,2179868.0,,30674.0
2012,,246697.0,,978952.0,,29728.0,,378441.0,,74480.0,,1125689.0,,370624.0,,25857.0,,1786899.0,,2165340.0,,60561.0
2013,,141149.0,,981165.0,,60430.0,,446326.0,,7449.0,,1158619.0,,514925.0,,109153.0,,1830033.0,,2276359.0,,15762.0
