Year,"Government agencies, New Cities thousand cubic meters","Government agencies, Water Companies thousand cubic meters","Housing units, New Cities thousand cubic meters","Housing units, Water Companies thousand cubic meters","Investment Companies Places, New Cities thousand cubic meters","Investment Companies Places, Water Companies thousand cubic meters","Loss networks, New Cities thousand cubic meters","Loss networks, Water Companies thousand cubic meters","Manufacturing Plants, Large, New Cities thousand cubic meters","Manufacturing Plants, Large, Water Companies thousand cubic meters","Number of subscriptions, New Cities thousand cubic meters","Number of subscriptions, Water Companies thousand cubic meters","Other (Non-residential units), New Cities thousand cubic meters","Other (Non-residential units), Water Companies thousand cubic meters","Shops, New Cities thousand cubic meters","Shops, Water Companies thousand cubic meters","Total Water consumed, New Cities thousand cubic meters","Total Water consumed, Water Companies thousand cubic meters","Total water produced, New Cities thousand cubic meters","Total water produced, Water Companies thousand cubic meters","Workshops and factories, Small, New Cities thousand cubic meters","Workshops and factories, Small, Water Companies thousand cubic meters"
2007,25250.0,64200.0,82043.0,354290.0,869.0,46900.0,28599.0,142973.0,1487.0,24800.0,27415.0,1154348.0,973.0,30000.0,3431.0,24900.0,114396.0,571890.0,142995.0,714863.0,343.0,26800.0
2008,24100.0,45600.0,82211.0,336000.0,871.0,16900.0,30028.0,175300.0,1500.0,34700.0,27415.0,1199677.0,320.0,68813.0,3600.0,25900.0,112967.0,549913.0,142995.0,725213.0,365.0,22000.0
2009,,46000.0,,370800.0,,39000.0,,283280.0,,93200.0,,1225692.0,,66187.0,,25800.0,,660987.0,,944267.0,,20000.0
2010,,56200.0,,540500.0,,41000.0,,190000.0,,32100.0,,1295113.0,,66077.0,,25105.0,,784522.0,,974522.0,,23540.0
2011,,42600.0,,536600.0,,37000.0,,185500.0,,29800.0,,1318044.0,,50284.0,,23900.0,,742184.0,,927684.0,,22000.0
2012,,44300.0,,427300.0,,35600.0,,347100.0,,27500.0,,1401022.0,,53171.0,,22000.0,,639471.0,,986571.0,,29600.0
2013,,44500.0,,468400.0,,41100.0,,344800.0,,22200.0,,1428310.0,,50445.0,,47336.0,,697647.0,,1042447.0,,23666.0
