Year,"Government agencies, City Councils thousand cubic meters","Government agencies, New Cities thousand cubic meters","Government agencies, Water Companies thousand cubic meters","Housing units, City Councils thousand cubic meters","Housing units, New Cities thousand cubic meters","Housing units, Water Companies thousand cubic meters","Investment Companies Places, City Councils thousand cubic meters","Investment Companies Places, New Cities thousand cubic meters","Investment Companies Places, Water Companies thousand cubic meters","Loss networks, City Councils thousand cubic meters","Loss networks, New Cities thousand cubic meters","Loss networks, Water Companies thousand cubic meters","Manufacturing Plants, Large, City Councils thousand cubic meters","Manufacturing Plants, Large, New Cities thousand cubic meters","Manufacturing Plants, Large, Water Companies thousand cubic meters","Number of subscriptions, City Councils thousand cubic meters","Number of subscriptions, New Cities thousand cubic meters","Number of subscriptions, Water Companies thousand cubic meters","Other (Non-residential units), City Councils thousand cubic meters","Other (Non-residential units), New Cities thousand cubic meters","Other (Non-residential units), Water Companies thousand cubic meters","Shops, City Councils thousand cubic meters","Shops, New Cities thousand cubic meters","Shops, Water Companies thousand cubic meters","Total Water consumed, City Councils thousand cubic meters","Total Water consumed, New Cities thousand cubic meters","Total Water consumed, Water Companies thousand cubic meters","Total water produced, City Councils thousand cubic meters","Total water produced, New Cities thousand cubic meters","Total water produced, Water Companies thousand cubic meters","Workshops and factories, Small, City Councils thousand cubic meters","Workshops and factories, Small, New Cities thousand cubic meters","Workshops and factories, Small, Water Companies thousand cubic meters"
2007,70538.0,415.0,,203177.0,1144.0,,55024.0,13.0,,91304.0,456.0,,14554.0,24.0,,499922.0,2460.0,,10831.0,222.0,,8813.0,55.0,,365497.0,1880.0,,456801.0,2336.0,,2560.0,7.0,
2008,66509.0,415.0,,304732.0,1214.0,,55449.0,13.0,,21357.0,420.0,,15662.0,25.0,,502922.0,3371.0,,11748.0,187.0,,5319.0,55.0,,465541.0,1916.0,,486898.0,2336.0,,6122.0,7.0,
2009,,,65186.0,,,305218.0,,,50899.0,,,21400.0,,,15009.0,,,540753.0,,,23400.0,,,5453.0,,,471732.0,,,493132.0,,,6567.0
2010,,,107946.0,,,262268.0,,,2799.0,,,46461.0,,,5997.0,,,547864.0,,,6797.0,,,12794.0,,,399800.0,,,446261.0,,,1199.0
2011,,,104552.0,,,279245.0,,,9034.0,,,43324.0,,,5413.0,,,625026.0,,,12573.0,,,13056.0,,,425380.0,,,468704.0,,,1507.0
2012,,,25142.0,,,126173.0,,,936.0,,,42558.0,,,1254.0,,,590380.0,,,118.0,,,3135.0,,,158639.0,,,201197.0,,,1881.0
2013,,,17847.0,,,111809.0,,,3350.0,,,41625.0,,,10743.0,,,617652.0,,,10253.0,,,6743.0,,,166563.0,,,208188.0,,,5818.0
