Year,"Government agencies, Water Companies thousand cubic meters","Housing units, Water Companies thousand cubic meters","Investment Companies Places, Water Companies thousand cubic meters","Loss networks, Water Companies thousand cubic meters","Manufacturing Plants, Large, Water Companies thousand cubic meters","Number of subscriptions, Water Companies thousand cubic meters","Other (Non-residential units), Water Companies thousand cubic meters","Shops, Water Companies thousand cubic meters","Total Water consumed, Water Companies thousand cubic meters","Total water produced, Water Companies thousand cubic meters","Workshops and factories, Small, Water Companies thousand cubic meters"
2007,27075,65539,800,26557,1498,521915,1100,3197,99908,126465,699
2008,26018,69097,805,27011,1499,570339,292,3201,101613,128624,701
2009,36029,94835,2514,36475,1576,718394,4335,5711,145900,182375,900
2010,64888,111852,4028,101671,3026,628192,11335,8324,205618,307289,2165
2011,43902,112036,1107,42998,2048,642593,2758,5236,167561,210559,474
2012,16144,118975,173,54689,2000,642593,6000,3674,147966,202655,1000
2013,38224,125852,4952,47882,8011,681021,5890,2908,191524,239406,5687
