Year,Agricultural land 1000 ha,Agriculture 1000 ha,Agriculture area certified organic 1000 ha,Agriculture area under organic agric. 1000 ha,Arable land 1000 ha,Country area 1000 ha,Cropland 1000 ha,Forest land 1000 ha,Forest land million tonnes,Inland waters 1000 ha,Land area 1000 ha,Land area equipped for irrigation 1000 ha,Land under permanent crops 1000 ha,Land with temporary fallow 1000 ha,Naturally regenerating forest 1000 ha,Other land 1000 ha,Planted Forest 1000 ha,Primary Forest 1000 ha
1985,2497.0,2497.0,,,2305.0,100145.0,2497.0,,,600.0,99545.0,2497.0,192.0,,,,,
1986,2567.0,2567.0,,,2318.0,100145.0,2567.0,,,600.0,99545.0,2567.0,249.0,,,,,
1987,2547.0,2547.0,,,2288.0,100145.0,2547.0,,,600.0,99545.0,2547.0,259.0,,,,,
1988,2581.0,2581.0,,,2310.0,100145.0,2581.0,,,600.0,99545.0,2581.0,271.0,,,,,
1989,2571.0,2571.0,,,2296.0,100145.0,2571.0,,,600.0,99545.0,2571.0,275.0,,,,,
1990,2648.0,2648.0,,,2284.0,100145.0,2648.0,43.81,3.1749,600.0,99545.0,2648.0,364.0,,0.0,96853.19,43.81,0.0
1991,2643.0,2643.0,,,2267.0,100145.0,2643.0,45.35,3.2865,600.0,99545.0,2643.0,376.0,,0.0,96856.65,45.35,0.0
1992,2996.28,2996.28,,,2615.28,100145.0,2996.28,46.89,3.3981,600.0,99545.0,2945.0,381.0,,0.0,96501.83,46.89,0.0
1993,3015.18,3015.18,,,2616.18,100145.0,3015.18,48.43,3.5097,600.0,99545.0,3000.0,399.0,,0.0,96481.39,48.43,0.0
1994,3012.66,3012.66,,,2612.66,100145.0,3012.66,49.97,3.6213,600.0,99545.0,3000.0,400.0,,0.0,96482.37,49.97,0.0
1995,3283.0,3283.0,,,2817.0,100145.0,3283.0,51.51,3.7329,600.0,99545.0,3283.0,466.0,,0.0,96210.49,51.51,0.0
1996,3176.46,3176.46,,,2710.46,100145.0,3176.46,53.05,3.8445,600.0,99545.0,3176.0,466.0,,0.0,96315.49,53.05,0.0
1997,3244.92,3244.92,,,2778.92,100145.0,3244.92,54.59,3.9561,600.0,99545.0,3244.0,466.0,,0.0,96245.49,54.59,0.0
1998,3259.62,3259.62,,,2793.62,100145.0,3259.62,56.13,4.0677,600.0,99545.0,3259.0,466.0,,0.0,96229.25,56.13,0.0
1999,3483.0,3483.0,,,2994.0,100145.0,3483.0,57.67,4.1793,600.0,99545.0,3289.0,489.0,,0.0,96004.33,57.67,0.0
2000,3291.0,3291.0,,,2801.0,100145.0,3291.0,59.21,4.2909,600.0,99545.0,3291.0,490.0,,0.0,96194.79,59.21,0.0
2001,3338.0,3338.0,,,2861.0,100145.0,3338.0,59.853,4.3375,600.0,99545.0,3338.0,477.0,,0.0,96147.147,59.853,0.0
2002,3424.0,3424.0,,,2936.0,100145.0,3424.0,60.496,4.3841,600.0,99545.0,3422.0,488.0,,0.0,96060.504,60.496,0.0
2003,3409.0,3409.0,,,2906.0,100145.0,3409.0,61.138999999999996,4.4307,600.0,99545.0,3402.0,503.0,,0.0,96074.86099999999,61.138999999999996,0.0
2004,3478.0,3478.0,,,2965.0,100145.0,3478.0,61.782,4.4773,600.0,99545.0,3471.0,513.0,,0.0,96005.21800000001,61.782,0.0
2005,3523.0,3523.0,,24.6,2563.0,100145.0,3523.0,62.425,4.5239,600.0,99545.0,3516.0,960.0,,0.0,95959.575,62.425,0.0
2006,3533.0,3533.0,,14.2,2605.0,100145.0,3533.0,63.068000000000005,4.5705,600.0,99545.0,3526.0,928.0,,0.0,95948.93199999999,63.068000000000005,0.0
2007,3538.0,3538.0,,19.2,2564.0,100145.0,3538.0,63.711000000000006,4.6171,600.0,99545.0,3531.0,974.0,,0.0,95943.289,63.711000000000006,0.0
2008,3542.0,3542.0,,40.0,2642.0,100145.0,3542.0,64.354,4.6637,600.0,99545.0,3535.0,900.0,,0.0,95938.646,64.354,0.0
2009,3689.0,3689.0,,56.0,2884.0,100145.0,3689.0,64.997,4.7103,600.0,99545.0,3682.0,805.0,,0.0,95791.00300000001,64.997,0.0
2010,3671.0,3671.0,,82.0,2873.0,100145.0,3671.0,65.64,4.7569,600.0,99545.0,3664.0,798.0,,0.0,95808.36,65.64,0.0
2011,3620.0,3620.0,,82.0,2808.0,100145.0,3620.0,62.196000000000005,4.5073,600.0,99545.0,3613.0,812.0,,0.0,95862.804,62.196000000000005,0.0
2012,3696.0,3696.0,,82.0,2829.0,100145.0,3696.0,58.751999999999995,4.2578,600.0,99545.0,3696.0,867.0,173.1,0.0,95790.248,58.751999999999995,0.0
2013,3730.97,3730.97,,85.8,2707.97,100145.0,3730.97,55.308,4.0082,600.0,99545.0,3724.0,1023.0,,0.0,95758.722,55.308,0.0
2014,3715.19,3715.19,,85.8,2640.19,100145.0,3715.19,51.864,3.7586,600.0,99545.0,3708.0,1075.0,,0.0,95777.946,51.864,0.0
2015,3789.8771,3789.8771,,85.8,2865.8771,100145.0,3789.8771,48.42,3.509,600.0,99545.0,3782.0,924.0,,0.0,95706.7029,48.42,0.0
2016,3733.7654,3733.7654,,105.91,2786.7654,100145.0,3733.7654,44.98,3.2597,600.0,99545.0,3726.0,947.0,,0.0,95766.2546,44.98,0.0
2017,3835.9688,3835.9688,,105.91,2910.9688,100145.0,3835.9688,44.98,3.2597,600.0,99545.0,3823.0,925.0,,0.0,95664.0512,44.98,0.0
2018,3835.9688,3835.9688,,116.0,2910.9688,100145.0,3835.9688,44.98,3.2597,600.0,99545.0,3823.0,925.0,,0.0,95664.0512,44.98,
2019,3835.9688,3835.9688,116.0,116.0,2910.9688,100145.0,3835.9688,44.98,3.2597,600.0,99545.0,3823.0,925.0,,0.0,95664.0512,44.98,
