Year,Agricultural land 1000 ha,Agriculture 1000 ha,Agriculture area certified organic 1000 ha,Agriculture area under organic agric. 1000 ha,Arable land 1000 ha,Country area 1000 ha,Cropland 1000 ha,Forest land 1000 ha,Forest land million tonnes,Inland waters 1000 ha,Land area 1000 ha,Land area equipped for irrigation 1000 ha,Land under permanent crops 1000 ha,Land with temporary fallow 1000 ha,Naturally regenerating forest 1000 ha,Other land 1000 ha,Planted Forest 1000 ha,Primary Forest 1000 ha
1961,2568.0,2568.0,,,2499.0,100145.0,2568.0,,,600.0,99545.0,2568.0,69.0,,,,,
1962,2505.0,2505.0,,,2433.0,100145.0,2505.0,,,600.0,99545.0,2505.0,72.0,,,,,
1963,2490.0,2490.0,,,2413.0,100145.0,2490.0,,,600.0,99545.0,2490.0,77.0,,,,,
1964,2506.0,2506.0,,,2422.0,100145.0,2506.0,,,600.0,99545.0,2506.0,84.0,,,,,
1965,2672.0,2672.0,,,2582.0,100145.0,2672.0,,,600.0,99545.0,2672.0,90.0,,,,,
1966,2780.0,2780.0,,,2683.0,100145.0,2780.0,,,600.0,99545.0,2780.0,97.0,,,,,
1967,2801.0,2801.0,,,2694.0,100145.0,2801.0,,,600.0,99545.0,2801.0,107.0,,,,,
1968,2801.0,2801.0,,,2687.0,100145.0,2801.0,,,600.0,99545.0,2801.0,114.0,,,,,
1969,2835.0,2835.0,,,2725.0,100145.0,2835.0,,,600.0,99545.0,2835.0,110.0,,,,,
1970,2843.0,2843.0,,,2725.0,100145.0,2843.0,,,600.0,99545.0,2843.0,118.0,,,,,
1971,2852.0,2852.0,,,2735.0,100145.0,2852.0,,,600.0,99545.0,2852.0,117.0,,,,,
1972,2855.0,2855.0,,,2725.0,100145.0,2855.0,,,600.0,99545.0,2855.0,130.0,,,,,
1973,2855.0,2855.0,,,2723.0,100145.0,2855.0,,,600.0,99545.0,2855.0,132.0,,,,,
1974,2843.0,2843.0,,,2707.0,100145.0,2843.0,,,600.0,99545.0,2843.0,136.0,,,,,
1975,2825.0,2825.0,,,2691.0,100145.0,2825.0,,,600.0,99545.0,2825.0,134.0,,,,,
1976,2730.0,2730.0,,,2596.0,100145.0,2730.0,,,600.0,99545.0,2730.0,134.0,,,,,
1977,2635.0,2635.0,,,2499.0,100145.0,2635.0,,,600.0,99545.0,2635.0,136.0,,,,,
1978,2540.0,2540.0,,,2395.0,100145.0,2540.0,,,600.0,99545.0,2540.0,145.0,,,,,
1979,2447.0,2447.0,,,2304.0,100145.0,2447.0,,,600.0,99545.0,2447.0,143.0,,,,,
1980,2445.0,2445.0,,,2286.0,100145.0,2445.0,,,600.0,99545.0,2445.0,159.0,,,,,
1981,2468.0,2468.0,,,2307.0,100145.0,2468.0,,,600.0,99545.0,2468.0,161.0,,,,,
1982,2445.24,2445.24,,,2281.24,100145.0,2445.24,,,600.0,99545.0,2445.0,164.0,,,,,
1983,2434.74,2434.74,,,2264.74,100145.0,2434.74,,,600.0,99545.0,2434.0,170.0,,,,,
1984,2458.26,2458.26,,,2275.26,100145.0,2458.26,,,600.0,99545.0,2458.0,183.0,,,,,
