year,population_total,urban_population,rural_population,annual_freshwater_withdrawals_total_m3,annual_freshwater_withdrawals_agriculture_of_total,annual_freshwater_withdrawals_domestic_of_total,annual_freshwater_withdrawals_industry_of_total,water_productivity_total_constant_2010_us_gdp,agricultural_land_sq_km,co2_emissions_kt,methane_emissions_kt_of_co2_equivalent,cereal_yield_kg_per_hectare,arable_land_of_land_area,nitrous_oxide_emissions,rainfall_mm,mintemp_c,maxtemp_c
1960,26,10,16,,,,,,,16054.13,,,,,,,
1961,27,10,16,,,,,,25680.0,17088.22,,2905.7,2.51,,,,
1962,28,10,17,,,,,,25050.0,18595.36,,3259.6,2.44,,,,
1963,28,11,17,,,,,,24900.0,21554.63,,3312.8,2.42,,,,
1964,29,11,17,,,,,,25060.0,25522.32,,3330.1,2.43,,,,
1965,30,12,18,,,,,,26720.0,27641.85,,3775.6,2.59,,,,
1966,31,12,18,,,,,,27800.0,26563.75,,3565.5,2.7,,,,
1967,32,12,19,,,,,,28010.0,19677.12,,3557.3,2.71,,,,
1968,32,13,19,,,,,,28010.0,22904.08,,3627.1,2.7,,,,
1969,33,13,19,,,,,,28350.0,19695.46,,3716.6,2.74,,,,
1970,34,14,20,,,,,,28430.0,21686.64,20777.6,3911.8,2.74,7888.6,,,
1971,35,14,20,,,,,,28520.0,23047.1,20622.6,3911.5,2.75,7987.27,,,
1972,36,15,20,,,,,,28550.0,25511.32,20403.8,3951.3,2.74,8403.2,,,
1973,36,15,21,,,,,,28550.0,23795.16,19836.8,4080.0,2.74,8248.23,,,
1974,37,16,21,,,,,,28430.0,26123.71,20781.7,3840.4,2.72,8736.39,,,
1975,38,16,21,,,,,,28250.0,31099.83,20993.1,3978.1,2.7,9028.22,,,
1976,39,17,22,,,,,,27300.0,34495.47,21592.5,3941.1,2.61,9215.22,,,
1977,40,17,22,48.97,,,,0.78,26350.0,37865.44,21185.7,3923.8,2.51,9508.1,,,
1978,41,18,23,,,,,,25400.0,39313.91,21391.4,4019.3,2.41,9852.7,,,
1979,42,18,23,,,,,,24470.0,42947.9,21161.2,3964.2,2.31,10028.97,,,
1980,43,18,24,,,,,,24450.0,45239.78,20803.5,4094.5,2.3,14060.08,,,
1981,44,19,24,,,,,,24680.0,50978.63,21127.1,4100.5,2.32,16566.99,,,
1982,45,19,25,50.88,,,,1.11,24452.4,56523.14,21802.0,4203.7,2.29,18119.93,,,
1983,46,20,26,,,,,,24347.4,57091.52,22093.3,4321.1,2.28,17876.65,,,
1984,47,21,26,,,,,,24582.6,63838.8,22821.1,4347.5,2.29,16894.66,,,
1985,49,21,27,,,,,,24970.0,63937.81,23176.1,4539.2,2.32,16994.08,,,
1986,50,22,28,,,,,,25670.0,74564.78,23765.7,4696.2,2.33,18603.88,,,
1987,51,22,29,52.8,,,,1.42,25470.0,74810.47,24594.9,4891.6,2.3,18463.04,,,
1988,53,23,30,,,,,,25810.0,74531.77,24796.3,5028.8,2.32,18930.49,,,
1989,54,23,30,,,,,,25710.0,72181.23,26028.4,5337.7,2.31,19152.73,,,
1990,56,24,31,,,,,,26480.0,86820.0,24980.0,5702.9,2.29,15510.0,,,
1991,57,24,32,,,,,,26430.0,89390.0,27650.0,5613.0,2.28,16060.0,3.84,15.08,29.73
1992,58,25,33,54.69,,,,1.69,29962.8,92300.0,30130.0,5898.5,2.63,15910.0,2.98,14.54,29.08
