year,population_total,urban_population,rural_population,annual_freshwater_withdrawals_total_m3,annual_freshwater_withdrawals_agriculture_of_total,annual_freshwater_withdrawals_domestic_of_total,annual_freshwater_withdrawals_industry_of_total,water_productivity_total_constant_2010_us_gdp,agricultural_land_sq_km,co2_emissions_kt,methane_emissions_kt_of_co2_equivalent,cereal_yield_kg_per_hectare,arable_land_of_land_area,nitrous_oxide_emissions,rainfall_mm,mintemp_c,maxtemp_c
1993,59,25,34,,,,,,30151.8,91830.0,32350.0,5995.1,2.63,16570.0,3.63,15.29,29.87
1994,61,26,34,,,,,,30126.6,86430.0,34550.0,5861.1,2.62,15590.0,3.71,15.33,29.95
1995,62,26,35,,,,,,32830.0,91870.0,36650.0,5903.7,2.83,17170.0,2.07,15.12,29.99
1996,63,27,36,,,,,,31764.6,96770.0,38870.0,6499.1,2.72,17510.0,2.34,15.45,30.08
1997,64,27,37,62.09,86.25,6.96,6.8,1.84,32449.2,103960.0,41530.0,6605.5,2.79,17120.0,2.96,14.97,29.59
1998,66,28,37,,,,,,32596.2,109270.0,42590.0,6797.4,2.81,17610.0,3.17,15.85,30.27
1999,67,28,38,,,,,,34830.0,114670.0,45980.0,7166.6,3.01,17680.0,2.04,15.78,30.4
2000,68,29,39,,,,,,32910.0,112860.0,48390.0,7280.1,2.81,18420.0,3.11,15.02,29.51
2001,70,30,40,,,,,,33380.0,125010.0,48260.0,7099.4,2.87,18710.0,2.08,15.73,30.31
2002,71,30,40,69.31,86.28,8.6,5.13,2.09,34240.0,127740.0,49650.0,7445.6,2.95,19410.0,2.78,15.95,30.33
2003,72,31,41,,,,,,34090.0,131240.0,49970.0,7515.4,2.92,19820.0,2.24,15.78,30.11
2004,74,31,42,,,,,,34780.0,142690.0,50500.0,7556.2,2.98,20980.0,2.71,15.69,30.12
2005,75,32,43,,,,,,35230.0,160590.0,50700.0,7536.9,2.57,20800.0,3.12,15.65,30.1
2006,76,33,43,,,,,,35330.0,169130.0,52150.0,7500.2,2.62,21270.0,2.27,15.62,30.18
2007,78,33,44,73.63,86.03,10.51,3.46,2.52,35380.0,182230.0,53700.0,7418.5,2.58,21550.0,2.36,15.73,30.31
2008,79,34,45,,,,,,35420.0,189120.0,54750.0,7452.2,2.65,22580.0,2.47,16.0,30.68
2009,81,34,46,,,,,,36890.0,195490.0,53600.0,7158.3,2.9,23250.0,1.88,15.77,30.57
2010,82,35,47,,,,,,36710.0,196500.0,53530.0,6504.3,2.89,23640.0,1.96,17.12,31.79
2011,84,36,48,,,,,,36200.0,201610.0,55070.0,7246.3,2.82,23650.0,2.37,15.46,30.03
2012,86,37,49,63.7,85.06,13.28,1.66,3.58,36960.0,212410.0,56000.0,7269.0,2.84,22630.0,2.49,16.08,30.72
2013,88,37,50,,,,,,37309.7,210430.0,55670.0,7285.3,2.72,22110.0,2.93,15.91,30.68
2014,90,38,51,,,,,,37151.9,216650.0,55880.0,7085.1,2.65,21640.0,3.0,16.24,30.82
2015,92,39,52,,,,,,37898.77,225950.0,55570.0,7117.2,2.88,21630.0,2.93,15.98,30.68
2016,94,40,54,,,,,,37337.65,233960.0,56310.0,7248.9,2.8,22130.0,2.39,16.45,31.0
2017,96,41,55,64.2,79.16,13.87,6.97,4.23,38359.69,238690.0,56050.0,7401.1,2.92,22050.0,1.94,15.81,30.57
2018,98,42,56,,,,,,38359.69,246260.0,56870.0,7148.5,2.92,22320.0,4.26,16.68,31.28
2019,10,42,57,,,,,,,,,,,,3.21,15.91,30.63
2020,10,43,58,,,,,,,,,,,,3.23,15.85,30.38
