Governorate ,Surface Water - SW (MCM),Groundwater - GW (MCM)  ,Sea Water Desalination - SWD (MCM),Total (MCM),Area
Alexandria,1056.3,0,0,1056.3,2300
Assiut,112.5,112.3,0,224.8,25926
Aswan,116.3,2.8,0,119.1,62726
Bani Souwaif,195.7,7.3,0,203,10954
Cairo,2096.5,1.8,0,2098.3,3085
Dakahliya,463.9,64.8,0,528.7,3538
Damietta,188,0,0,188,910
El Beheira,471.7,16.7,0,488.4,9826
Fayoum,249.1,0,0.04,249.14,6068
Gharbya,196.8,139.2,0,336,1942
Giza,1165.5,69.4,0,1234.9,13184
Ismailia,139.8,0,0,139.8,5067
Kafr el-Sheikh,287.5,0,0,287.5,3467
Kalyobiya,123.9,90.7,0,214.6,1124
Luxor,99.7,4.3,0,104,2409.68
Matrouh,62.6,1.7,2,66.3,166563
Menia,228.5,59.2,0,287.7,32279
Monofiya,174.6,151.6,0,326.2,2499
New Valley,0,46.5,0,46.5,440098
North Sinai,45.6,20.7,3.1,69.4,28992
Port Said,9.7,0,0,9.7,1345
Qena,187.1,15.5,0,202.6,10798
Red Sea,35.5,0,5.4,40.9,119099
Sharqeia,299.8,71.7,0,371.5,4911
Sohag,155.8,114.9,0,270.7,11022
South Sinai,12.7,0.7,11.1,24.5,31272
Suez,18.9,0,0,18.9,9002
total,8194,991.8,21.64,9207.44,1010407
