Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2001","2001","1000 ha","344.291","FC","Calculated data"
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2002","2002","1000 ha","344.7633","FC","Calculated data"
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2003","2003","1000 ha","345.3429","FC","Calculated data"
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2004","2004","1000 ha","346.4376","FC","Calculated data"
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2005","2005","1000 ha","348.069","FC","Calculated data"
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2006","2006","1000 ha","350.4947","FC","Calculated data"
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2007","2007","1000 ha","353.0277","FC","Calculated data"
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2008","2008","1000 ha","356.0329","FC","Calculated data"
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2009","2009","1000 ha","360.4763","FC","Calculated data"
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2010","2010","1000 ha","365.3705","FC","Calculated data"
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2011","2011","1000 ha","367.9894","FC","Calculated data"
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2012","2012","1000 ha","370.093","FC","Calculated data"
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2013","2013","1000 ha","372.4972","FC","Calculated data"
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2014","2014","1000 ha","375.5024","FC","Calculated data"
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2015","2015","1000 ha","378.4647","FC","Calculated data"
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2016","2016","1000 ha","381.8348","FC","Calculated data"
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2017","2017","1000 ha","388.2961","FC","Calculated data"
"LC","Land Cover","59","Egypt","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2018","2018","1000 ha","395.0364","FC","Calculated data"
"LC","Land Cover","59","Egypt","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1992","1992","1000 ha","78.6708","FC","Calculated data"
"LC","Land Cover","59","Egypt","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1993","1993","1000 ha","79.9263","FC","Calculated data"
"LC","Land Cover","59","Egypt","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1994","1994","1000 ha","81.24","FC","Calculated data"
"LC","Land Cover","59","Egypt","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1995","1995","1000 ha","82.7339","FC","Calculated data"
"LC","Land Cover","59","Egypt","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1996","1996","1000 ha","84.5475","FC","Calculated data"
"LC","Land Cover","59","Egypt","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1997","1997","1000 ha","86.7855","FC","Calculated data"
