Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","59","Egypt","5312","Area harvested","711","Anise, badian, fennel, coriander","1961","1961","ha","1200","F","FAO estimate"
"QCL","Crops and livestock products","59","Egypt","5312","Area harvested","711","Anise, badian, fennel, coriander","1962","1962","ha","1200","F","FAO estimate"
"QCL","Crops and livestock products","59","Egypt","5312","Area harvested","711","Anise, badian, fennel, coriander","1963","1963","ha","1200","F","FAO estimate"
"QCL","Crops and livestock products","59","Egypt","5312","Area harvested","711","Anise, badian, fennel, coriander","1964","1964","ha","1200","F","FAO estimate"
"QCL","Crops and livestock products","59","Egypt","5312","Area harvested","711","Anise, badian, fennel, coriander","1965","1965","ha","1200","F","FAO estimate"
"QCL","Crops and livestock products","59","Egypt","5312","Area harvested","711","Anise, badian, fennel, coriander","1966","1966","ha","1200","F","FAO estimate"
"QCL","Crops and livestock products","59","Egypt","5312","Area harvested","711","Anise, badian, fennel, coriander","1967","1967","ha","1200","F","FAO estimate"
"QCL","Crops and livestock products","59","Egypt","5312","Area harvested","711","Anise, badian, fennel, coriander","1968","1968","ha","1200","F","FAO estimate"
"QCL","Crops and livestock products","59","Egypt","5312","Area harvested","711","Anise, badian, fennel, coriander","1969","1969","ha","1500","F","FAO estimate"
"QCL","Crops and livestock products","59","Egypt","5312","Area harvested","711","Anise, badian, fennel, coriander","1970","1970","ha","1500","F","FAO estimate"
"QCL","Crops and livestock products","59","Egypt","5312","Area harvested","711","Anise, badian, fennel, coriander","1971","1971","ha","3000","F","FAO estimate"
"QCL","Crops and livestock products","59","Egypt","5312","Area harvested","711","Anise, badian, fennel, coriander","1972","1972","ha","4000","F","FAO estimate"
"QCL","Crops and livestock products","59","Egypt","5312","Area harvested","711","Anise, badian, fennel, coriander","1973","1973","ha","6500","F","FAO estimate"
"QCL","Crops and livestock products","59","Egypt","5312","Area harvested","711","Anise, badian, fennel, coriander","1974","1974","ha","6500","F","FAO estimate"
