Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","44","Barley","1991","1991","7021","Annual value","LCU","362","","Official data"
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","176","Beans, dry","1991","1991","7021","Annual value","LCU","1850","","Official data"
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","414","Beans, green","1991","1991","7021","Annual value","LCU","298","","Official data"
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","181","Broad beans, horse beans, dry","1991","1991","7021","Annual value","LCU","875","","Official data"
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","358","Cabbages and other brassicas","1991","1991","7021","Annual value","LCU","84","","Official data"
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","426","Carrots and turnips","1991","1991","7021","Annual value","LCU","85","","Official data"
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","393","Cauliflowers and broccoli","1991","1991","7021","Annual value","LCU","127","","Official data"
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","191","Chick peas","1991","1991","7021","Annual value","LCU","1387","","Official data"
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","329","Cottonseed","1991","1991","7021","Annual value","LCU","40","Fc","Calculated data"
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","195","Cow peas, dry","1991","1991","7021","Annual value","LCU","1850","","Official data"
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","397","Cucumbers and gherkins","1991","1991","7021","Annual value","LCU","390","","Official data"
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","399","Eggplants (aubergines)","1991","1991","7021","Annual value","LCU","206","","Official data"
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","773","Flax fibre and tow","1991","1991","7021","Annual value","LCU","141","","Official data"
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","406","Garlic","1991","1991","7021","Annual value","LCU","144","","Official data"
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","242","Groundnuts, with shell","1991","1991","7021","Annual value","LCU","1137","","Official data"
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","1182","Honey, natural","1991","1991","7021","Annual value","LCU","5705","","Official data"
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","201","Lentils","1991","1991","7021","Annual value","LCU","1377","","Official data"
"PP","Producer Prices","59","Egypt","5530","Producer Price (LCU/tonne)","210","Lupins","1991","1991","7021","Annual value","LCU","1419","","Official data"
