Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1953","1953","1000 persons","14800.269","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1953","1953","1000 persons","7508.829","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1954","1954","1000 persons","22611.51","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1954","1954","1000 persons","11495.505","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1954","1954","1000 persons","11115.997","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1954","1954","1000 persons","15058.949","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1954","1954","1000 persons","7842.649","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1955","1955","1000 persons","23223.124","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1955","1955","1000 persons","11809.456","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1955","1955","1000 persons","11413.669","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1955","1955","1000 persons","15328.618","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1955","1955","1000 persons","8194.766","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1956","1956","1000 persons","23861.519","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1956","1956","1000 persons","12136.293","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1956","1956","1000 persons","11725.216","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1956","1956","1000 persons","15607.477","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1956","1956","1000 persons","8565.395","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1957","1957","1000 persons","24524.53","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1957","1957","1000 persons","12475.054","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1957","1957","1000 persons","12049.477","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1957","1957","1000 persons","15894.142","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1957","1957","1000 persons","8953.68","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1958","1958","1000 persons","25209.462","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1958","1958","1000 persons","12824.564","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1958","1958","1000 persons","12384.895","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1958","1958","1000 persons","16185.754","X","International reliable sources",""
"OA","Annual population","59","Egypt","561","Urban population","3010","Population - Est. & Proj.","1958","1958","1000 persons","9359.722","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1959","1959","1000 persons","25913.23","X","International reliable sources",""
"OA","Annual population","59","Egypt","512","Total Population - Male","3010","Population - Est. & Proj.","1959","1959","1000 persons","13183.569","X","International reliable sources",""
"OA","Annual population","59","Egypt","513","Total Population - Female","3010","Population - Est. & Proj.","1959","1959","1000 persons","12729.658","X","International reliable sources",""
"OA","Annual population","59","Egypt","551","Rural population","3010","Population - Est. & Proj.","1959","1959","1000 persons","16480.084","X","International reliable sources",""
