ISO3,Country,Residence / Facility Type,Service Type,Year,Coverage,Population,Service level
EGY,Egypt,total,Hygiene,2003,9.02225,6570553.16814,Basic service
EGY,Egypt,hospital,Hygiene,2003,4.35185,3169282.80692,Basic service
EGY,Egypt,non_hospital,Hygiene,2003,10.02305,7299396.81697,Basic service
EGY,Egypt,government,Hygiene,2003,5.6369,4105134.65638,Basic service
EGY,Egypt,non_government,Hygiene,2003,27.17925,19793588.87142,Basic service
EGY,Egypt,total,Water,2003,77.36925,56345010.46902,Basic service
EGY,Egypt,hospital,Water,2003,84.24605,61353115.98889,Basic service
EGY,Egypt,non_hospital,Water,2003,76.07845,55404971.11859,Basic service
EGY,Egypt,government,Water,2003,77.12365,56166149.5576,Basic service
EGY,Egypt,non_government,Water,2003,78.783,57374589.51432,Basic service
EGY,Egypt,total,Health care waste,2003,16.55193,12054122.1145,Basic service
EGY,Egypt,hospital,Health care waste,2003,22.27958,16225346.46026,Basic service
EGY,Egypt,non_hospital,Health care waste,2003,15.4008,11215802.62483,Basic service
EGY,Egypt,total,Hygiene,2003,90.826,66145037.21904,Limited service
EGY,Egypt,hospital,Hygiene,2003,95.64815,69656821.19308,Limited service
EGY,Egypt,non_hospital,Hygiene,2003,89.80395,65400718.02311,Limited service
EGY,Egypt,government,Hygiene,2003,94.1842,68590683.44357,Limited service
EGY,Egypt,non_government,Hygiene,2003,72.82075,53032515.12858,Limited service
EGY,Egypt,total,Water,2003,17.60375,12820125.2829,Limited service
EGY,Egypt,hospital,Water,2003,15.75395,11472988.01111,Limited service
EGY,Egypt,non_hospital,Water,2003,17.9988,13107824.80675,Limited service
EGY,Egypt,government,Water,2003,16.97205,12360082.78393,Limited service
EGY,Egypt,non_government,Water,2003,20.967,15269449.22568,Limited service
EGY,Egypt,total,Health care waste,2003,83.44808,60771981.8855,Limited service
EGY,Egypt,hospital,Health care waste,2003,77.72043,56600757.53974,Limited service
EGY,Egypt,non_hospital,Health care waste,2003,84.5992,61610301.37517,Limited service
EGY,Egypt,total,Environmental cleaning,2003,100,72826104,Insufficient data
EGY,Egypt,urban,Environmental cleaning,2003,100,31267886,Insufficient data
EGY,Egypt,rural,Environmental cleaning,2003,100,41558216,Insufficient data
EGY,Egypt,hospital,Environmental cleaning,2003,100,72826104,Insufficient data
EGY,Egypt,non_hospital,Environmental cleaning,2003,100,72826104,Insufficient data
EGY,Egypt,government,Environmental cleaning,2003,100,72826104,Insufficient data
EGY,Egypt,non_government,Environmental cleaning,2003,100,72826104,Insufficient data
EGY,Egypt,total,Hygiene,2003,0,0,Insufficient data
EGY,Egypt,urban,Hygiene,2003,100,31267886,Insufficient data
EGY,Egypt,rural,Hygiene,2003,100,41558216,Insufficient data
EGY,Egypt,hospital,Hygiene,2003,0,0,Insufficient data
EGY,Egypt,non_hospital,Hygiene,2003,0,0,Insufficient data
EGY,Egypt,government,Hygiene,2003,0,0,Insufficient data
EGY,Egypt,non_government,Hygiene,2003,0,0,Insufficient data
EGY,Egypt,total,Sanitation,2003,91.21953,66431626.14481,Insufficient data
EGY,Egypt,urban,Sanitation,2003,100,31267886,Insufficient data
EGY,Egypt,rural,Sanitation,2003,100,41558216,Insufficient data
EGY,Egypt,hospital,Sanitation,2003,94.59215,68887777.53484,Insufficient data
EGY,Egypt,non_hospital,Sanitation,2003,90.51615,65919385.5358,Insufficient data
