ISO3,Country,Residence / School Type,Service Type,Year,Coverage,School-age population,Service level
EGY,Egypt,total,Hygiene,2000,100,21541320,Basic service
EGY,Egypt,primary,Hygiene,2000,100,8470876,Basic service
EGY,Egypt,secondary,Hygiene,2000,100,9792149,Basic service
EGY,Egypt,total,Sanitation,2000,100,21541320,Basic service
EGY,Egypt,primary,Sanitation,2000,100,8470876,Basic service
EGY,Egypt,secondary,Sanitation,2000,100,9792149,Basic service
EGY,Egypt,total,Hygiene,2000,0,0,Limited service
EGY,Egypt,primary,Hygiene,2000,0,0,Limited service
EGY,Egypt,secondary,Hygiene,2000,0,0,Limited service
EGY,Egypt,total,Sanitation,2000,0,0,Limited service
EGY,Egypt,primary,Sanitation,2000,0,0,Limited service
EGY,Egypt,secondary,Sanitation,2000,0,0,Limited service
EGY,Egypt,total,Hygiene,2000,0,0,Insufficient data
EGY,Egypt,pre_primary,Hygiene,2000,100,3278294,Insufficient data
EGY,Egypt,primary,Hygiene,2000,0,0,Insufficient data
EGY,Egypt,rural,Hygiene,2000,100,12322281,Insufficient data
EGY,Egypt,secondary,Hygiene,2000,0,0,Insufficient data
EGY,Egypt,urban,Hygiene,2000,100,9219039,Insufficient data
EGY,Egypt,total,Sanitation,2000,0,0,Insufficient data
EGY,Egypt,pre_primary,Sanitation,2000,100,3278294,Insufficient data
EGY,Egypt,primary,Sanitation,2000,0,0,Insufficient data
EGY,Egypt,rural,Sanitation,2000,100,12322281,Insufficient data
EGY,Egypt,secondary,Sanitation,2000,0,0,Insufficient data
EGY,Egypt,urban,Sanitation,2000,100,9219039,Insufficient data
EGY,Egypt,total,Drinking water,2000,100,21541320,Insufficient data
EGY,Egypt,pre_primary,Drinking water,2000,100,3278294,Insufficient data
EGY,Egypt,primary,Drinking water,2000,100,8470876,Insufficient data
EGY,Egypt,rural,Drinking water,2000,100,12322281,Insufficient data
EGY,Egypt,secondary,Drinking water,2000,100,9792149,Insufficient data
EGY,Egypt,urban,Drinking water,2000,100,9219039,Insufficient data
EGY,Egypt,total,Hygiene,2000,0,0,No service
EGY,Egypt,primary,Hygiene,2000,0,0,No service
EGY,Egypt,secondary,Hygiene,2000,0,0,No service
EGY,Egypt,total,Sanitation,2000,0,0,No service
EGY,Egypt,primary,Sanitation,2000,0,0,No service
EGY,Egypt,secondary,Sanitation,2000,0,0,No service
EGY,Egypt,total,Hygiene,2001,100,21647366,Basic service
EGY,Egypt,primary,Hygiene,2001,100,8360567,Basic service
EGY,Egypt,secondary,Hygiene,2001,100,9994962,Basic service
EGY,Egypt,total,Sanitation,2001,100,21647366,Basic service
EGY,Egypt,primary,Sanitation,2001,100,8360567,Basic service
EGY,Egypt,secondary,Sanitation,2001,100,9994962,Basic service
EGY,Egypt,total,Hygiene,2001,0,0,Limited service
EGY,Egypt,primary,Hygiene,2001,0,0,Limited service
EGY,Egypt,secondary,Hygiene,2001,0,0,Limited service
EGY,Egypt,total,Sanitation,2001,0,0,Limited service
EGY,Egypt,primary,Sanitation,2001,0,0,Limited service
EGY,Egypt,secondary,Sanitation,2001,0,0,Limited service
EGY,Egypt,total,Hygiene,2001,0,0,Insufficient data
EGY,Egypt,pre_primary,Hygiene,2001,100,3291837,Insufficient data
EGY,Egypt,primary,Hygiene,2001,0,0,Insufficient data
EGY,Egypt,rural,Hygiene,2001,100,12372985,Insufficient data
EGY,Egypt,secondary,Hygiene,2001,0,0,Insufficient data
EGY,Egypt,urban,Hygiene,2001,100,9274381,Insufficient data
EGY,Egypt,total,Sanitation,2001,0,0,Insufficient data
EGY,Egypt,pre_primary,Sanitation,2001,100,3291837,Insufficient data
EGY,Egypt,primary,Sanitation,2001,0,0,Insufficient data
EGY,Egypt,rural,Sanitation,2001,100,12372985,Insufficient data
EGY,Egypt,secondary,Sanitation,2001,0,0,Insufficient data
EGY,Egypt,urban,Sanitation,2001,100,9274381,Insufficient data
EGY,Egypt,total,Drinking water,2001,100,21647366,Insufficient data
EGY,Egypt,pre_primary,Drinking water,2001,100,3291837,Insufficient data
EGY,Egypt,primary,Drinking water,2001,100,8360567,Insufficient data
EGY,Egypt,rural,Drinking water,2001,100,12372985,Insufficient data
EGY,Egypt,secondary,Drinking water,2001,100,9994962,Insufficient data
EGY,Egypt,urban,Drinking water,2001,100,9274381,Insufficient data
EGY,Egypt,total,Hygiene,2001,0,0,No service
EGY,Egypt,primary,Hygiene,2001,0,0,No service
EGY,Egypt,secondary,Hygiene,2001,0,0,No service
EGY,Egypt,total,Sanitation,2001,0,0,No service
EGY,Egypt,primary,Sanitation,2001,0,0,No service
EGY,Egypt,secondary,Sanitation,2001,0,0,No service
EGY,Egypt,total,Hygiene,2002,100,21714108,Basic service
EGY,Egypt,primary,Hygiene,2002,100,8287324,Basic service
