ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
EGY,Egypt,total,Drinking water,2000,97.88827,67378021.58899,At least basic
EGY,Egypt,rural,Drinking water,2000,96.87617,38143749.98732,At least basic
EGY,Egypt,urban,Drinking water,2000,99.24104,29234269.67285,At least basic
EGY,Egypt,total,Hygiene,2000,66.04586,45460393.57899,Basic service
EGY,Egypt,rural,Hygiene,2000,50.95361,20062329.95921,Basic service
EGY,Egypt,urban,Hygiene,2000,86.21834,25398062.36088,Basic service
EGY,Egypt,total,Sanitation,2000,37.15836,25576675.76308,Basic service
EGY,Egypt,rural,Sanitation,2000,42.39502,16692494.41918,Basic service
EGY,Egypt,urban,Sanitation,2000,30.15897,8884180.57921,Basic service
EGY,Egypt,total,Hygiene,2000,15.6817,10793960.89073,Limited service
EGY,Egypt,rural,Hygiene,2000,20.26056,7977334.04229,Limited service
EGY,Egypt,urban,Hygiene,2000,9.56155,2816626.51599,Limited service
EGY,Egypt,total,Sanitation,2000,6.00125,4130753.32235,Limited service
EGY,Egypt,rural,Sanitation,2000,7.43475,2927337.07535,Limited service
EGY,Egypt,urban,Sanitation,2000,4.08521,1203416.12108,Limited service
EGY,Egypt,total,Drinking water,2000,0.65093,448047.04814,Limited service
EGY,Egypt,rural,Drinking water,2000,0.96639,380504.86387,Limited service
EGY,Egypt,urban,Drinking water,2000,0.22928,67542.16995,Limited service
EGY,Egypt,total,Hygiene,2000,18.27244,12577205.47224,No handwashing facility
EGY,Egypt,rural,Hygiene,2000,28.78583,11334052.27491,No handwashing facility
EGY,Egypt,urban,Hygiene,2000,4.22011,1243153.17776,No handwashing facility
EGY,Egypt,total,Sanitation,2000,1.7463,1202005.15234,Open defecation
EGY,Egypt,rural,Sanitation,2000,2.44008,960750.91517,Open defecation
EGY,Egypt,urban,Sanitation,2000,0.81898,241254.19939,Open defecation
EGY,Egypt,total,Sanitation,2000,54.15661,37276838.83228,Safely managed service
EGY,Egypt,rural,Sanitation,2000,46.28912,18225745.34572,Safely managed service
EGY,Egypt,urban,Sanitation,2000,64.6724,19051092.43576,Safely managed service
EGY,Egypt,total,Drinking water,2000,0.04111,28297.65903,Surface water
EGY,Egypt,rural,Drinking water,2000,0.07187,28297.65808,Surface water
EGY,Egypt,urban,Drinking water,2000,0,0,Surface water
EGY,Egypt,total,Sanitation,2000,0.93749,645286.92995,Unimproved
EGY,Egypt,rural,Sanitation,2000,1.44103,567388.24457,Unimproved
EGY,Egypt,urban,Sanitation,2000,0.26444,77898.66456,Unimproved
EGY,Egypt,total,Drinking water,2000,1.41969,977194.34256,Unimproved
EGY,Egypt,rural,Drinking water,2000,2.08556,821164.2864,Unimproved
