year,animals_production_head
1961,4868000.0
1962,4997000.0
1963,5134000.0
1964,5271000.0
1965,5417000.0
1966,5580000.0
1967,5754000.0
1968,6552000.0
1969,6949000.0
1970,7105000.0
1971,7240000.0
1972,7370000.0
1973,7475000.0
1974,7566000.0
1975,7833000.0
1976,7699588.0
1977,7736236.0
1978,7789652.0
1979,7827668.0
1980,7797570.0
1981,8514362.0
1982,9304000.0
1983,10160000.0
1984,10787000.0
1985,10804000.0
1986,11196000.0
1987,11804000.0
1988,12607000.0
1989,12194000.0
1990,12199000.0
1991,26713000.0
1992,27442008.0
1993,28695726.0
1994,26567971.0
1995,27734500.0
1996,27554000.0
1997,28051420.0
1998,28827000.0
1999,28726000.0
2000,29978000.0
2001,27853051.0
2002,28227608.0
2003,28347480.0
2004,28193051.0
2005,26953079.0
2006,28343397.0
2007,30288778.0
2008,30508486.0
2009,29596801.0
2010,29971724.0
2011,29608799.0
2012,29635463.0
2013,29623300.0
2014,29221300.0
2015,29695000.0
2016,30095000.0
2017,24391708.0
2018,21035261.0
2019,22684965.0
