year,land_area_equipped_for_irrigation_ha
1961,2568.0
1962,2505.0
1963,2490.0
1964,2506.0
1965,2672.0
1966,2780.0
1967,2801.0
1968,2801.0
1969,2835.0
1970,2843.0
1971,2852.0
1972,2855.0
1973,2855.0
1974,2843.0
1975,2825.0
1976,2730.0
1977,2635.0
1978,2540.0
1979,2447.0
1980,2445.0
1981,2468.0
1982,2445.0
1983,2434.0
1984,2458.0
1985,2497.0
1986,2567.0
1987,2547.0
1988,2581.0
1989,2571.0
1990,2648.0
1991,2643.0
1992,2945.0
1993,3000.0
1994,3000.0
1995,3283.0
1996,3176.0
1997,3244.0
1998,3259.0
1999,3289.0
2000,3291.0
2001,3338.0
2002,3422.0
2003,3402.0
2004,3471.0
2005,3516.0
2006,3526.0
2007,3531.0
2008,3535.0
2009,3682.0
2010,3664.0
2011,3613.0
2012,3696.0
2013,3724.0
2014,3708.0
2015,3782.0
2016,3726.0
2017,3823.0
2018,3823.0
