year,barley_ha,maize_ha,rice_paddy_ha,rye_ha,sorghum_ha,wheat_ha
1961,50892.0,673399.0,226000.0,,192124.0,581409.0
1962,54976.0,769464.0,349000.0,,191042.0,611226.0
1963,50725.0,722958.0,403000.0,,203000.0,565000.0
1964,52951.0,697858.0,404000.0,,208196.0,544393.0
1965,52595.0,526000.0,356000.0,,210000.0,481000.0
1966,41000.0,662000.0,355000.0,,217474.0,542000.0
1967,64700.0,628000.0,452000.0,,219658.0,530000.0
1968,65000.0,655000.0,507000.0,,225000.0,602000.0
1969,62000.0,626000.0,502000.0,,199028.0,531000.0
1970,36967.0,633481.0,480000.0,,210040.0,551145.0
1971,31926.0,641042.0,477631.0,,207520.0,569628.0
1972,40748.0,646083.0,481412.0,,202899.0,523420.0
1973,36128.0,695652.0,418820.0,,204579.0,524867.0
1974,32346.0,737950.0,442344.0,,210750.0,577000.0
1975,41830.0,768640.0,442213.0,,205487.0,585592.0
1976,44794.0,794677.0,453030.0,,199388.0,586000.0
1977,40627.0,741467.0,436652.0,,171839.0,509304.0
1978,49103.0,797222.0,434968.0,,182949.0,579710.0
1979,45298.0,791554.0,438891.0,,171082.0,587231.0
1980,40122.0,800440.0,408374.0,,172234.0,556995.0
1981,38310.0,808009.0,401685.0,,173376.0,587830.0
1982,45898.0,812832.0,430758.0,,160813.0,576917.0
1983,50825.0,820000.0,423000.0,,165000.0,554500.0
1984,53100.0,830000.0,413711.0,,153000.0,495034.0
1985,52500.0,804000.0,388600.0,,143000.0,498000.0
1986,55000.0,723000.0,423400.0,,155680.0,507000.0
1987,47000.0,760765.0,412940.0,,133165.0,577000.0
1988,37387.0,823357.0,351600.0,,131905.0,597350.0
1989,49679.0,841840.0,413266.0,8000.0,128565.0,643921.0
1990,53350.0,830174.0,435908.0,8500.0,134193.0,821301.0
1991,64575.0,868808.0,462458.0,7500.0,136016.0,930702.0
1992,104089.0,826297.0,511000.0,7500.0,149389.0,878846.0
1993,60410.0,829065.0,539071.0,8800.0,146055.0,912324.0
1994,62129.0,865482.0,579177.0,9500.0,158030.0,886950.0
1995,188143.0,735874.0,588538.0,11000.0,147697.0,1055384.0
1996,44524.0,742966.0,590449.0,11500.0,138686.0,1017192.0
1997,57705.0,814336.0,651207.0,12000.0,155975.0,1044593.0
1998,60000.0,876987.0,517832.0,12500.0,158232.0,1017282.0
1999,56764.0,817224.0,655210.0,12500.0,165403.0,999998.0
2000,48896.0,843029.0,659217.0,13000.0,162597.0,1034985.0
2001,30899.0,873035.0,563021.0,15000.0,148764.0,983741.0
2002,33007.0,828132.0,650286.0,15000.0,156217.0,1029592.0
2003,49009.0,834103.0,633570.0,15000.0,167232.0,1053016.0
2004,59454.0,788520.0,645670.0,15000.0,152402.0,1094741.0
2005,61830.0,868210.0,613300.0,26000.0,152000.0,1253820.0
2006,90115.0,761524.0,670470.0,37500.0,156000.0,1286750.0
2007,102940.0,775910.0,704054.0,39000.0,148660.0,1140979.0
2008,76432.0,936254.0,745092.0,47500.0,154103.0,1226651.0
2009,94980.0,983081.0,575467.0,49000.0,141253.0,1335295.0
2010,87752.0,968519.0,459525.0,49000.0,140157.0,1287627.0
2011,67520.0,888329.0,593185.0,47025.0,156986.0,1284946.0
2012,82504.0,1041345.0,620285.0,45000.0,142744.0,1336234.0
2013,78960.0,1030339.0,597099.0,44500.0,141627.0,1418708.0
2014,60480.0,1039241.0,573704.0,45000.0,148465.0,1425060.0
2015,26132.0,1060996.0,510853.0,45710.0,150197.0,1457506.0
2016,25147.0,1027682.0,568688.0,47380.0,148071.0,1408887.0
2017,24292.0,1096680.0,549688.0,46077.0,152171.0,1227611.0
2018,22519.0,680025.0,361075.0,46313.0,154925.0,1326401.0
2019,30470.0,994818.0,799032.0,46536.0,153546.0,1410912.0
