Year,Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),Agricultural land (sq. km),"Agricultural machinery, tractors per 100 sq. km of arable land",Agricultural methane emissions (% of total),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (% of total),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","Annual freshwater withdrawals, total (% of internal resources)","Annual freshwater withdrawals, total (billion cubic meters)",Aquaculture production (metric tons),Arable land (% of land area),Arable land (hectares per person),Arable land (hectares),Average precipitation in depth (mm per year),Capture fisheries production (metric tons),Cereal production (metric tons),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",Forest area (% of land area),Forest area (sq. km),Land area (sq. km),Land under cereal production (hectares),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,People using at least basic drinking water services (% of population),"People using at least basic drinking water services, rural (% of rural population)","People using at least basic drinking water services, urban (% of urban population)",People using safely managed drinking water services (% of population),"People using safely managed drinking water services, rural (% of rural population)","People using safely managed drinking water services, urban (% of urban population)",People using safely managed sanitation services (% of population),People with basic handwashing facilities including soap and water (% of population),"People with basic handwashing facilities including soap and water, rural (% of rural population)","People with basic handwashing facilities including soap and water, urban (% of urban population)",Permanent cropland (% of land area),Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)",Surface area (sq. km),Total fisheries production (metric tons),Total greenhouse gas emissions (% change from 1990),"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)"
1986,,2.578733236,25670.0,224.3313201,39.4704096,9380.419135,43.06126669,8011.064228,,,,,,45500.0,2.328595108,0.04580814,2318000.0,,183653.9688,8754000.0,4696.2,38.19,,,,995450.0,1864080.0,,,,,,,,,,,,0.250138128,,,1001450.0,229153.9688,,
1987,,2.55864182,25470.0,228.5402098,38.73662176,9527.233386,44.52944446,8221.490033,,,,5280.0,52.8,46400.0,2.298457984,0.044007028,2288000.0,18.1,184712.8906,9445000.0,4891.6,40.62,,,,995450.0,1930870.0,96.17486339,,,,,,,,,,,0.260183836,19.23384073,1.0,1001450.0,231112.8906,,1.4162608030000001
1988,,2.5927972269999997,25810.0,229.43722940000004,37.97121677,9415.456823,45.03918911,8526.139641,,,,,,52200.0,2.320558541,0.04325904,2310000.0,,232128.7969,9764000.0,5028.8,39.49,,,,995450.0,1941599.0,,,,,,,,,,,,0.272238686,,,1001450.0,284328.7813,,
1989,,2.582751519,25710.0,239.5470383,38.19639696,9941.910986,44.82354284,8584.932136,,,,,,60500.0,2.30649455,0.041906467,2296000.0,,233105.7969,11130486.0,5337.7,40.97,,,,995450.0,2085271.0,,,,,,,,,,,,0.27625696899999996,,,1001450.0,293605.8125,,
1990,,2.6601034709999998,26480.0,249.5621716,45.11609287,11270.0,60.92843327,9450.0,,,,,,61916.0,2.294439701,0.040688006,2284000.0,,251036.0,13022243.0,5702.9,44.8,,0.044010247,438.1,995450.0,2283426.0,,,,,,,,,,,,0.36566377,,,1001450.0,312952.0,,
1991,,2.655080617,26430.0,260.25584469999995,43.32730561,11980.0,63.07596513,10130.0,,,,,,61617.0,2.277361997,0.039477887,2267000.0,,284431.0,13864365.0,5613.0,45.46,,0.045557285999999995,453.5,995450.0,2470059.0,,,,,,,,,,,,0.37771862,,,1001450.0,346048.0,1.973956382,
1992,,3.009975388,29962.8,233.2446239,41.45370063,12490.0,63.48208674,10100.0,,,,5469.166667,54.69166667,63895.0,2.627233914,0.04457852599999999,2615280.0,18.1,282401.8125,14611271.0,5898.5,48.74,,0.047104325,468.9,995450.0,2477121.0,99.62052216,,,,,,,,,,,0.38274147399999997,17.04541232,1.0,1001450.0,346296.8125,6.590125202,1.688940431
1993,,3.028961776,30151.8,298.52303739999996,39.44358578,12760.0,65.72118286,10890.0,,,,,,51210.0,2.628138028,0.043689902,2616180.0,,302830.6875,14962240.0,5995.1,50.11,,0.048651364,484.3,995450.0,2495725.0,,,,,,,,,,,,0.400823748,,,1001450.0,354040.6875,8.532479587000001,
1994,,3.026430258,30126.6,301.7843883,37.62662808,13000.0,64.33611289,10030.0,,,,,,56603.0,2.624601939,0.04276333,2612660.0,,311601.5938,15011740.0,5861.1,50.87,,0.050198402999999996,499.7,995450.0,2561268.0,,,,,,,,,,,,0.401828319,,,1001450.0,368204.5938,5.428077161,
1995,,3.2980059269999997,32830.0,316.22293219999995,35.8526603,13140.0,68.31683168,11730.0,,,,,,71815.0,2.829875936,0.045192012000000004,2817000.0,,335301.5,16097252.0,5903.7,56.21,,0.051745442,515.1,995450.0,2726636.0,,,,,,,,,,,,0.468129991,,,1001450.0,407116.5,11.80664132,
