Year,Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),Agricultural land (sq. km),"Agricultural machinery, tractors per 100 sq. km of arable land",Agricultural methane emissions (% of total),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (% of total),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","Annual freshwater withdrawals, total (% of internal resources)","Annual freshwater withdrawals, total (billion cubic meters)",Aquaculture production (metric tons),Arable land (% of land area),Arable land (hectares per person),Arable land (hectares),Average precipitation in depth (mm per year),Capture fisheries production (metric tons),Cereal production (metric tons),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",Forest area (% of land area),Forest area (sq. km),Land area (sq. km),Land under cereal production (hectares),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,People using at least basic drinking water services (% of population),"People using at least basic drinking water services, rural (% of rural population)","People using at least basic drinking water services, urban (% of urban population)",People using safely managed drinking water services (% of population),"People using safely managed drinking water services, rural (% of rural population)","People using safely managed drinking water services, urban (% of urban population)",People using safely managed sanitation services (% of population),People with basic handwashing facilities including soap and water (% of population),"People with basic handwashing facilities including soap and water, rural (% of rural population)","People with basic handwashing facilities including soap and water, urban (% of urban population)",Permanent cropland (% of land area),Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)",Surface area (sq. km),Total fisheries production (metric tons),Total greenhouse gas emissions (% change from 1990),"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)"
1996,,3.1909789539999998,31764.6,324.6681375,34.47388732,13400.0,69.21758995,12120.0,,,,,,91137.0,2.722848963,0.042616202,2710460.0,,340435.4063,16542173.0,6499.1,60.58,,0.053292480999999996,530.5,995450.0,2545317.0,,,,,,,,,,,,0.468129991,,,1001450.0,431572.4063,14.47817541,
1997,,3.259751871,32449.2,309.47274480000004,33.95136046,14100.0,68.69158879,11760.0,86.24730208,6.956169142,6.79652878,6209.294286,62.09294286,85704.0,2.79162188,0.042823590999999994,2778920.0,18.1,371333.1875,18071326.0,6605.5,61.67,,0.05483952,545.9,995450.0,2735816.0,113.10189960000001,,,,,,,,,,,0.468129991,15.41015618,1.0,1001450.0,457037.1875,18.84884463,1.8446112819999998
1998,,3.274519062,32596.2,307.84430239999995,31.01667058,13210.0,69.78989211,12290.0,,,,,,139389.0,2.80638907,0.042199533,2793620.0,,406205.0,17964394.0,6797.4,62.39,,0.056386559,561.3,995450.0,2642833.0,,,,,,,,,,,,0.468129991,,,1001450.0,545594.0,22.73151747,
1999,,3.498920086,34830.0,287.241149,31.8399304,14640.0,70.13574661,12400.0,,,,,,226276.0,3.007684967,0.044345313,2994000.0,,422666.0,19400567.0,7166.6,68.22,,0.057933597999999996,576.7,995450.0,2707099.0,,,,,,,,,,,,0.49123512,,,1001450.0,648942.0,27.94243984,
2000,,3.306042493,32910.0,307.94359160000005,31.20479438,15100.0,71.49837134,13170.0,,,,,,340093.0,2.813802803,0.040693542,2801000.0,,384315.0,20105573.0,7280.1,71.99,,0.059480637,592.1,995450.0,2761724.0,,97.87094608,96.69353633,99.44468654,,,,54.26872895,66.04586,50.95361,86.21834,0.49223969100000003,,,1001450.0,724408.0,32.60787386,
2001,,3.353257321,33380.0,322.27542819999996,30.58433485,14760.0,71.88669161,13450.0,,,,,,342864.0,2.8740770510000004,0.040782487,2861000.0,,428634.0,18561065.0,7099.4,69.52,,0.060126575999999994,598.53,995450.0,2614460.0,,97.94452381,96.81791446,99.44753129,,,,54.10218864,67.54782,53.247569999999996,86.62585,0.47918027,,,1001450.0,771498.0,34.64430225,
2002,,3.439650409,34240.0,317.9155313,32.10473313,15940.0,72.84904688,14140.0,86.27562642,8.599088838,5.125284738,6931.0,69.31,376296.0,2.94941986,0.041071527999999996,2936000.0,18.1,425163.0,20194329.0,7445.6,73.44,,0.060772515,604.96,995450.0,2712234.0,126.24772309999999,98.01802263,96.94235982,99.45037539,,,,53.93552522,69.04805,55.54152,87.03335,0.49023054899999996,13.98894012,1.0,1001450.0,801459.0,45.77757507,2.086435314
2003,,3.424581847,34090.0,325.1273228,32.09925956,16040.0,73.36024218,14540.0,,,,,,445181.0,2.9192827360000004,0.039903275,2906000.0,,431124.0,20681928.0,7515.4,75.62,,0.061418454000000004,611.39,995450.0,2751930.0,,98.09145026,97.06687241,99.45321884,,,,53.76874088,70.54655,57.835480000000004,87.44086,0.505299111,,,1001450.0,876305.0,52.32802878,
2004,,3.4938972319999997,34780.0,324.67116360000006,32.3960396,16360.0,74.73784557,15680.0,,,,,,471535.0,2.978552413,0.039974614,2965000.0,,393495.0,20823161.0,7556.2,79.0,,0.062064392999999995,617.82,995450.0,2755787.0,,98.16480145,97.19145225,99.45606164,,,,54.25387842,72.04330999999999,60.129430000000006,87.84836999999999,0.515344819,,,1001450.0,865030.0,60.57424455,
2005,,3.539102918,35230.0,382.5634023,32.24852071,16350.0,74.51923077,15500.0,,,,,,539748.0,2.574714953,0.033936423,2563000.0,,349554.0,22423470.0,7536.9,82.61,,0.06271033200000001,624.25,995450.0,2975160.0,,98.23808385,97.31609931,99.45890379,,,,54.73935227,73.53833,62.423390000000005,88.25587,0.964387965,,,1001450.0,889302.0,75.25998615,
2006,,3.549148626,35330.0,385.09404989999996,32.48322148,16940.0,71.36812412,15180.0,,,,,,595030.0,2.616906927,0.033886765,2605000.0,,375895.0,22518430.0,7500.2,87.93,,0.06335627099999999,630.68,995450.0,3002359.0,,98.31128959,97.44081361,99.4617453,,,,55.22515861,75.03161999999999,64.71734000000001,88.66338,0.9322417,,,1001450.0,970925.0,84.26855125,
2007,,3.55417148,35380.0,400.0936037,32.83054004,17630.0,68.07424594,14670.0,86.03009722,10.50739113,3.462511653,7362.75,73.6275,635516.0,2.575719524,0.03277426,2564000.0,18.1,372492.0,21599234.0,7418.5,90.03,,0.06400221,637.11,995450.0,2911543.0,134.1120219,98.38364245,97.56559515,99.46458616,,,,55.70419305,76.51413000000001,67.0113,89.07089,0.9784519559999999,12.78247284,1.0,1001450.0,1008008.0,91.40842277,2.521848592
2008,,3.558189763,35420.0,390.5677517,32.54794521,17820.0,66.03188663,14910.0,,,,,,693815.0,2.654076046,0.033175917,2642000.0,,373816.0,23743022.0,7452.2,94.92,,0.064648149,643.54,995450.0,3186032.0,,98.45557698,97.69044392,99.46742637,,,,56.17934472,77.9914,69.30525,89.47839,0.904113717,,,1001450.0,1067631.0,93.91331865,
2009,,3.705861671,36890.0,,,15810.0,,14800.0,,,,,,705490.0,2.8971821789999996,0.035545787999999995,2884000.0,,387399.0,22756929.0,7158.3,95.66,0.012213477,0.065294088,649.97,995450.0,3179076.0,,98.52761491,97.81535992,99.47026593,,,,56.65514252,79.46961999999999,71.59921,89.8859,0.808679492,,,1001450.0,1092889.0,91.46101408,
2010,,3.6877793960000003,36710.0,,,14880.0,,14400.0,,,,,,919585.0,2.8861319,0.034714316,2873000.0,,385210.0,19464743.0,6504.3,87.94,,0.065940027,656.4,995450.0,2992580.0,,98.59972194,97.94034316,99.47310484,,,,57.13124161,80.94838,73.89316,90.29341,0.801647496,,,1001450.0,1304795.0,101.47537890000001,
2011,,3.636546286,36200.0,,,16110.0,,14990.0,,,,,,986820.0,2.820834798,0.03321927,2808000.0,,375355.0,22014225.0,7246.3,91.83,,0.062480285,621.96,995450.0,3037991.0,,98.67192993,98.06539364,99.47594311,,,,57.60798185,82.42805,76.18712,90.70091,0.8157114870000001,,,1001450.0,1362175.0,107.2497543,
2012,,3.7128936660000003,36960.0,,,16730.0,,14560.0,85.06224066,13.278008300000002,1.659751037,6370.0,63.7,1017738.0,2.841930785,0.032734629,2829000.0,18.1,354174.0,23755745.0,7269.0,97.21,,0.059020542999999995,587.52,995450.0,3268112.0,116.02914390000001,98.74377151,98.19051135,99.47878073,,,,58.07930442,83.91108,78.48106999999999,91.10842,0.870962881,11.57109559,1.0,1001450.0,1371912.0,112.4343926,3.576276726
2013,,3.748023507,37309.7,,,16090.0,,14630.0,,,,,,1097544.0,2.7203475810000004,0.030631533,2707970.0,,356858.0,24123416.0,7285.3,93.69,,0.055560802,553.08,995450.0,3311233.0,,98.81579497,98.31569629,99.4816177,,,,58.55133217,85.3963,80.77503,91.51593000000001,1.027675925,,,1001450.0,1454402.0,,
2014,,3.73217138,37151.9,,,15990.0,,14740.0,,,,,,1137091.0,2.652257773,0.029197674,2640190.0,,344792.0,23323662.0,7085.1,98.57,,0.05210106,518.64,995450.0,3291950.0,,98.88797584,98.44094847,99.48445402,,,,59.02372679999999,86.86214002,83.06897995,91.92343465,1.079913607,,,1001450.0,1481883.0,,
2015,,3.807199859,37898.771,,,15380.0,,15320.0,,,,,,1174831.0,2.878976443,0.03100171,2865877.1,,344113.0,23141549.0,7117.2,102.08,,0.048641317999999996,484.2,995450.0,3251487.0,,98.96032707,98.56626788,99.48728969,,,,59.59168760000001,88.34419659,85.3629349,92.33094141,0.928223417,,,1001450.0,1518944.0,,
2016,,3.7508316839999996,37337.654,,,15570.0,,15650.0,,,,,,1370660.0,2.7995031389999996,0.029506107,2786765.4,,335614.0,23388736.0,7248.9,99.35,,0.045185594,449.8,995450.0,3226518.0,,99.03285678,98.69165453,99.49012472,,,,60.16370649,89.82834119,87.65688985,92.73844818,0.951328545,,,1001450.0,1706274.0,,
2017,,3.853502235,38359.687999999995,,,14770.0,,15430.0,79.16129032,13.87096774,6.967741936,6420.0,64.2,1451841.0,2.924274248,0.030183437,2910968.8,18.1,370960.0,22923098.0,7401.1,100.61,,0.045185594,449.8,995450.0,3097260.0,116.9398907,99.10573046,98.81710841,99.49295909,,,,60.74052792,89.82696945,87.65688985,92.73844818,0.929227987,10.36886297,1.0,1001450.0,1822801.0,,4.23408126
2018,,3.853502235,38359.687999999995,,,15050.0,,15540.0,,,,,,1561457.0,2.924274248,0.029575922,2910968.8,,373286.0,22051537.0,7148.5,98.96,,0.045185594,449.8,995450.0,3084783.0,,,,,,,,,,,,0.929227987,,,1001450.0,1934743.0,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
