,country_name,country_iso3,year,indicator_name,indicator_code,value,units
0,"Egypt, Arab Rep.",EGY,2017,Water productivity,ER.GDP.FWTL.M3.KD,4.23408126030188, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)
1,"Egypt, Arab Rep.",EGY,2012,Water productivity,ER.GDP.FWTL.M3.KD,3.57627672628083, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)
2,"Egypt, Arab Rep.",EGY,2007,Water productivity,ER.GDP.FWTL.M3.KD,2.52184859188206, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)
3,"Egypt, Arab Rep.",EGY,2002,Water productivity,ER.GDP.FWTL.M3.KD,2.08643531417038, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)
4,"Egypt, Arab Rep.",EGY,1997,Water productivity,ER.GDP.FWTL.M3.KD,1.84461128232566, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)
5,"Egypt, Arab Rep.",EGY,1992,Water productivity,ER.GDP.FWTL.M3.KD,1.68894043139828, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)
6,"Egypt, Arab Rep.",EGY,1987,Water productivity,ER.GDP.FWTL.M3.KD,1.41626080348012, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)
7,"Egypt, Arab Rep.",EGY,1982,Water productivity,ER.GDP.FWTL.M3.KD,1.10743371187555, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)
8,"Egypt, Arab Rep.",EGY,1977,Water productivity,ER.GDP.FWTL.M3.KD,0.780681379018839, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)
9,"Egypt, Arab Rep.",EGY,2017,Annual freshwater withdrawals,ER.H2O.FWAG.ZS,79.16129032,agriculture (% of total freshwater withdrawal)
10,"Egypt, Arab Rep.",EGY,2012,Annual freshwater withdrawals,ER.H2O.FWAG.ZS,85.06224066,agriculture (% of total freshwater withdrawal)
11,"Egypt, Arab Rep.",EGY,2007,Annual freshwater withdrawals,ER.H2O.FWAG.ZS,86.03009722,agriculture (% of total freshwater withdrawal)
12,"Egypt, Arab Rep.",EGY,2002,Annual freshwater withdrawals,ER.H2O.FWAG.ZS,86.27562642,agriculture (% of total freshwater withdrawal)
13,"Egypt, Arab Rep.",EGY,1997,Annual freshwater withdrawals,ER.H2O.FWAG.ZS,86.24730208,agriculture (% of total freshwater withdrawal)
