"location","variable","Unit","Date","Value"
"Egypt","Total Water consumed, Water Companies","thousand cubic meters","2007","3904329"
"Egypt","Total Water consumed, Water Companies","thousand cubic meters","2008","4238488"
"Egypt","Total Water consumed, Water Companies","thousand cubic meters","2009","6294553"
"Egypt","Total Water consumed, Water Companies","thousand cubic meters","2010","7840628"
"Egypt","Total Water consumed, Water Companies","thousand cubic meters","2011","6587713"
"Egypt","Total Water consumed, Water Companies","thousand cubic meters","2012","6680023"
"Egypt","Total Water consumed, Water Companies","thousand cubic meters","2013","7376580"
"Egypt","Government agencies, Water Companies","thousand cubic meters","2007","897376"
"Egypt","Government agencies, Water Companies","thousand cubic meters","2008","789544"
"Egypt","Government agencies, Water Companies","thousand cubic meters","2009","956720"
"Egypt","Government agencies, Water Companies","thousand cubic meters","2010","1497930"
"Egypt","Government agencies, Water Companies","thousand cubic meters","2011","1041488"
"Egypt","Government agencies, Water Companies","thousand cubic meters","2012","905907"
"Egypt","Government agencies, Water Companies","thousand cubic meters","2013","694997"
"Egypt","Shops, Water Companies","thousand cubic meters","2007","127145"
"Egypt","Shops, Water Companies","thousand cubic meters","2008","132851"
"Egypt","Shops, Water Companies","thousand cubic meters","2009","318922"
"Egypt","Shops, Water Companies","thousand cubic meters","2010","436040"
"Egypt","Shops, Water Companies","thousand cubic meters","2011","193194"
"Egypt","Shops, Water Companies","thousand cubic meters","2012","217227"
"Egypt","Shops, Water Companies","thousand cubic meters","2013","324401"
"Egypt","Workshops and factories, Small, Water Companies","thousand cubic meters","2007","50030"
"Egypt","Workshops and factories, Small, Water Companies","thousand cubic meters","2008","52286"
"Egypt","Workshops and factories, Small, Water Companies","thousand cubic meters","2009","109277"
"Egypt","Workshops and factories, Small, Water Companies","thousand cubic meters","2010","102740"
"Egypt","Workshops and factories, Small, Water Companies","thousand cubic meters","2011","82888"
"Egypt","Workshops and factories, Small, Water Companies","thousand cubic meters","2012","169090"
"Egypt","Workshops and factories, Small, Water Companies","thousand cubic meters","2013","129387"
"Egypt","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2007","69801"
"Egypt","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2008","92653"
"Egypt","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2009","248273"
"Egypt","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2010","194869"
"Egypt","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2011","194650"
"Egypt","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2012","201874"
"Egypt","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2013","187854"
"Egypt","Investment Companies Places, Water Companies","thousand cubic meters","2007","82410"
"Egypt","Investment Companies Places, Water Companies","thousand cubic meters","2008","61826"
"Egypt","Investment Companies Places, Water Companies","thousand cubic meters","2009","200101"
"Egypt","Investment Companies Places, Water Companies","thousand cubic meters","2010","131406"
"Egypt","Investment Companies Places, Water Companies","thousand cubic meters","2011","113764"
"Egypt","Investment Companies Places, Water Companies","thousand cubic meters","2012","103646"
"Egypt","Investment Companies Places, Water Companies","thousand cubic meters","2013","194162"
"Egypt","Other (Non-residential units), Water Companies","thousand cubic meters","2007","148828"
"Egypt","Other (Non-residential units), Water Companies","thousand cubic meters","2008","276211"
"Egypt","Other (Non-residential units), Water Companies","thousand cubic meters","2009","297914"
"Egypt","Other (Non-residential units), Water Companies","thousand cubic meters","2010","320577"
"Egypt","Other (Non-residential units), Water Companies","thousand cubic meters","2011","591008"
"Egypt","Other (Non-residential units), Water Companies","thousand cubic meters","2012","797611"
"Egypt","Other (Non-residential units), Water Companies","thousand cubic meters","2013","839151"
"Egypt","Loss networks, Water Companies","thousand cubic meters","2007","1007703"
"Egypt","Loss networks, Water Companies","thousand cubic meters","2008","1249148"
"Egypt","Loss networks, Water Companies","thousand cubic meters","2009","2234237"
"Egypt","Loss networks, Water Companies","thousand cubic meters","2010","2155209"
"Egypt","Loss networks, Water Companies","thousand cubic meters","2011","1448494"
"Egypt","Loss networks, Water Companies","thousand cubic meters","2012","1775296"
"Egypt","Loss networks, Water Companies","thousand cubic meters","2013","2265228"
"Egypt","Total water produced, Water Companies","thousand cubic meters","2007","4912032"
"Egypt","Total water produced, Water Companies","thousand cubic meters","2008","5487636"
"Egypt","Total water produced, Water Companies","thousand cubic meters","2009","8528790"
"Egypt","Total water produced, Water Companies","thousand cubic meters","2010","9995837"
"Egypt","Total water produced, Water Companies","thousand cubic meters","2011","8036207"
"Egypt","Total water produced, Water Companies","thousand cubic meters","2012","8455319"
"Egypt","Total water produced, Water Companies","thousand cubic meters","2013","9641808"
"Egypt","Number of subscriptions, Water Companies","thousand cubic meters","2007","4912032"
"Egypt","Number of subscriptions, Water Companies","thousand cubic meters","2008","5487636"
"Egypt","Number of subscriptions, Water Companies","thousand cubic meters","2009","8528790"
"Egypt","Number of subscriptions, Water Companies","thousand cubic meters","2010","9995837"
"Egypt","Number of subscriptions, Water Companies","thousand cubic meters","2011","8036207"
"Egypt","Number of subscriptions, Water Companies","thousand cubic meters","2012","8455319"
"Egypt","Number of subscriptions, Water Companies","thousand cubic meters","2013","9641808"
"Egypt","Total Water consumed, Water Bodies","thousand cubic meters","2007","99454"
"Egypt","Total Water consumed, Water Bodies","thousand cubic meters","2008","101035"
