Year,Country,Statistics,Rainfall(MM),Temperature(C),MinTemp(C),MaxTemp(C)
1991, Egypt, Jan Average,6.1,13.1,6.0,20.1
1991, Egypt, Feb Average,4.2,15.2,7.6,22.9
1991, Egypt, Mar Average,8.8,19.1,11.4,26.8
1991, Egypt, Apr Average,3.3,24.2,16.1,32.3
1991, Egypt, May Average,1.5,26.7,19.2,34.3
1991, Egypt, Jun Average,1.8,28.9,21.5,36.3
1991, Egypt, Jul Average,2.8,29.0,21.9,36.2
1991, Egypt, Aug Average,2.6,29.2,21.8,36.5
1991, Egypt, Sep Average,1.6,26.9,19.7,34.1
1991, Egypt, Oct Average,2.2,25.0,17.9,32.1
1991, Egypt, Nov Average,3.6,18.9,12.1,25.8
1991, Egypt, Dec Average,7.6,12.6,5.8,19.4
1992, Egypt, Jan Average,7.1,12.2,5.2,19.2
1992, Egypt, Feb Average,8.0,11.9,4.7,19.2
1992, Egypt, Mar Average,0.9,17.0,9.6,24.4
1992, Egypt, Apr Average,1.5,21.3,13.4,29.2
1992, Egypt, May Average,1.4,25.6,17.7,33.7
1992, Egypt, Jun Average,2.1,29.9,22.2,37.8
1992, Egypt, Jul Average,2.8,29.3,22.1,36.5
1992, Egypt, Aug Average,2.6,30.0,23.0,37.1
1992, Egypt, Sep Average,1.3,26.5,19.6,33.5
1992, Egypt, Oct Average,0.5,25.2,18.1,32.4
1992, Egypt, Nov Average,1.8,19.1,12.3,25.9
1992, Egypt, Dec Average,5.8,13.3,6.6,20.1
1993, Egypt, Jan Average,3.7,12.5,5.3,19.7
1993, Egypt, Feb Average,5.0,13.1,6.0,20.3
1993, Egypt, Mar Average,1.4,17.0,9.0,25.0
1993, Egypt, Apr Average,0.8,23.0,14.9,31.1
1993, Egypt, May Average,15.0,25.8,18.0,33.7
1993, Egypt, Jun Average,1.8,28.8,21.1,36.6
1993, Egypt, Jul Average,2.8,29.2,22.2,36.3
1993, Egypt, Aug Average,2.5,30.0,22.9,37.1
1993, Egypt, Sep Average,1.3,28.2,21.4,35.0
1993, Egypt, Oct Average,4.6,26.3,19.4,33.2
1993, Egypt, Nov Average,0.8,20.4,13.6,27.2
1993, Egypt, Dec Average,3.9,16.5,9.7,23.3
1994, Egypt, Jan Average,7.5,14.7,7.8,21.7
1994, Egypt, Feb Average,1.3,14.3,6.9,21.9
1994, Egypt, Mar Average,4.1,17.2,9.8,24.6
1994, Egypt, Apr Average,1.1,23.7,15.7,31.9
1994, Egypt, May Average,1.2,26.6,18.8,34.4
1994, Egypt, Jun Average,1.8,28.1,20.4,35.8
1994, Egypt, Jul Average,3.0,29.9,22.4,37.5
1994, Egypt, Aug Average,2.5,29.9,22.7,37.1
1994, Egypt, Sep Average,1.6,28.8,22.1,35.5
1994, Egypt, Oct Average,4.9,26.7,19.6,33.9
1994, Egypt, Nov Average,11.4,18.1,11.5,24.8
1994, Egypt, Dec Average,4.1,13.2,6.2,20.3
1995, Egypt, Jan Average,1.2,13.1,5.9,20.2
1995, Egypt, Feb Average,5.4,14.9,7.6,22.3
1995, Egypt, Mar Average,1.9,18.4,10.8,26.1
1995, Egypt, Apr Average,2.5,21.5,13.6,29.5
1995, Egypt, May Average,1.4,25.6,17.4,33.7
1995, Egypt, Jun Average,1.8,31.0,23.3,38.8
1995, Egypt, Jul Average,2.8,30.4,23.0,37.9
1995, Egypt, Aug Average,2.6,30.2,22.8,37.6
1995, Egypt, Sep Average,1.4,29.1,22.2,36.0
1995, Egypt, Oct Average,1.0,24.5,17.2,31.9
1995, Egypt, Nov Average,1.9,17.4,10.4,24.5
1995, Egypt, Dec Average,1.0,14.3,7.3,21.4
1996, Egypt, Jan Average,4.8,14.0,7.1,20.9
1996, Egypt, Feb Average,1.2,15.6,8.3,22.9
1996, Egypt, Mar Average,3.5,18.3,10.9,25.7
1996, Egypt, Apr Average,2.8,21.4,13.3,29.5
1996, Egypt, May Average,1.1,28.1,20.3,35.9
1996, Egypt, Jun Average,1.8,28.4,20.6,36.3
1996, Egypt, Jul Average,2.8,29.4,22.3,36.6
1996, Egypt, Aug Average,2.5,30.1,22.9,37.3
1996, Egypt, Sep Average,1.8,29.4,22.3,36.5
1996, Egypt, Oct Average,2.1,23.9,16.8,31.1
1996, Egypt, Nov Average,2.4,19.4,12.5,26.2
1996, Egypt, Dec Average,1.3,15.0,8.1,22.1
1997, Egypt, Jan Average,4.1,14.6,7.6,21.6
1997, Egypt, Feb Average,3.7,13.0,5.8,20.3
1997, Egypt, Mar Average,5.1,16.5,9.1,23.9
1997, Egypt, Apr Average,1.2,21.1,13.1,29.1
1997, Egypt, May Average,2.2,26.8,19.0,34.6
1997, Egypt, Jun Average,2.1,29.5,21.7,37.4
1997, Egypt, Jul Average,2.9,30.3,23.1,37.6
1997, Egypt, Aug Average,2.5,29.8,22.6,37.1
1997, Egypt, Sep Average,1.5,27.3,20.1,34.4
1997, Egypt, Oct Average,5.9,24.3,17.2,31.5
1997, Egypt, Nov Average,1.0,19.5,12.7,26.3
1997, Egypt, Dec Average,3.3,14.5,7.6,21.3
1998, Egypt, Jan Average,2.3,13.6,6.7,20.5
1998, Egypt, Feb Average,4.1,15.3,8.1,22.7
1998, Egypt, Mar Average,3.3,16.2,8.9,23.5
1998, Egypt, Apr Average,4.4,24.1,16.4,31.9
1998, Egypt, May Average,10.2,27.6,19.9,35.3
1998, Egypt, Jun Average,1.8,28.6,21.0,36.2
1998, Egypt, Jul Average,2.9,30.4,23.3,37.5
1998, Egypt, Aug Average,2.6,31.3,24.0,38.7
1998, Egypt, Sep Average,1.3,29.1,22.4,35.9
1998, Egypt, Oct Average,0.7,25.3,18.4,32.3
1998, Egypt, Nov Average,1.4,19.8,12.9,26.7
1998, Egypt, Dec Average,3.0,15.0,8.2,22.0
1999, Egypt, Jan Average,1.8,14.0,7.1,20.9
1999, Egypt, Feb Average,5.7,15.9,8.6,23.3
1999, Egypt, Mar Average,0.9,18.3,10.8,25.9
