Year,Nitrous oxide emissions (thousand metric tons of CO2 equivalent)
1970,7888.601
1971,7987.274
1972,8403.201
1973,8248.232
1974,8736.389
1975,9028.223
1976,9215.215
1977,9508.103
1978,9852.699
1979,10028.965
1980,14060.081
1981,16566.989
1982,18119.934
1983,17876.646
1984,16894.659
1985,16994.076
1986,18603.875
1987,18463.042
1988,18930.491
1989,19152.73
1990,15510
1991,16060
1992,15910
1993,16570
1994,15590
1995,17170
1996,17510
1997,17120
1998,17610
1999,17680
2000,18420
2001,18710
2002,19410
2003,19820
2004,20980
2005,20800
2006,21270
2007,21550
2008,22580
2009,23250
2010,23640
2011,23650
2012,22630
2013,22110
2014,21640
2015,21630
2016,22130
2017,22050
2018,22320
