Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1961","1961","3050","FAO TIER 1","tonnes","673399","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1961","1961","3050","FAO TIER 1","kilotonnes","0.0471","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1961","1961","3050","FAO TIER 1","kilotonnes","1.8182","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1962","1962","3050","FAO TIER 1","tonnes","769464","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1962","1962","3050","FAO TIER 1","kilotonnes","0.0539","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1962","1962","3050","FAO TIER 1","kilotonnes","2.0776","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1963","1963","3050","FAO TIER 1","tonnes","722958","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1963","1963","3050","FAO TIER 1","kilotonnes","0.0506","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1963","1963","3050","FAO TIER 1","kilotonnes","1.952","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1964","1964","3050","FAO TIER 1","tonnes","697858","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1964","1964","3050","FAO TIER 1","kilotonnes","0.0489","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1964","1964","3050","FAO TIER 1","kilotonnes","1.8842","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1965","1965","3050","FAO TIER 1","tonnes","526000","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1965","1965","3050","FAO TIER 1","kilotonnes","0.0368","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1965","1965","3050","FAO TIER 1","kilotonnes","1.4202","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1966","1966","3050","FAO TIER 1","tonnes","662000","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1966","1966","3050","FAO TIER 1","kilotonnes","0.0463","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1966","1966","3050","FAO TIER 1","kilotonnes","1.7874","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1967","1967","3050","FAO TIER 1","tonnes","628000","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1967","1967","3050","FAO TIER 1","kilotonnes","0.044","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1967","1967","3050","FAO TIER 1","kilotonnes","1.6956","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1968","1968","3050","FAO TIER 1","tonnes","655000","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1968","1968","3050","FAO TIER 1","kilotonnes","0.0459","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1968","1968","3050","FAO TIER 1","kilotonnes","1.7685","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1969","1969","3050","FAO TIER 1","tonnes","626000","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1969","1969","3050","FAO TIER 1","kilotonnes","0.0438","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1969","1969","3050","FAO TIER 1","kilotonnes","1.6902","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1970","1970","3050","FAO TIER 1","tonnes","633481","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1970","1970","3050","FAO TIER 1","kilotonnes","0.0443","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1970","1970","3050","FAO TIER 1","kilotonnes","1.7104","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1971","1971","3050","FAO TIER 1","tonnes","641042","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1971","1971","3050","FAO TIER 1","kilotonnes","0.0449","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1971","1971","3050","FAO TIER 1","kilotonnes","1.7308","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1972","1972","3050","FAO TIER 1","tonnes","646083","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1972","1972","3050","FAO TIER 1","kilotonnes","0.0452","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1972","1972","3050","FAO TIER 1","kilotonnes","1.7444","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1973","1973","3050","FAO TIER 1","tonnes","695652","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1973","1973","3050","FAO TIER 1","kilotonnes","0.0487","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1973","1973","3050","FAO TIER 1","kilotonnes","1.8783","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1974","1974","3050","FAO TIER 1","tonnes","737950","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1974","1974","3050","FAO TIER 1","kilotonnes","0.0517","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1974","1974","3050","FAO TIER 1","kilotonnes","1.9925","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1975","1975","3050","FAO TIER 1","tonnes","768640","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1975","1975","3050","FAO TIER 1","kilotonnes","0.0538","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1975","1975","3050","FAO TIER 1","kilotonnes","2.0753","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1976","1976","3050","FAO TIER 1","tonnes","794677","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1976","1976","3050","FAO TIER 1","kilotonnes","0.0556","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1976","1976","3050","FAO TIER 1","kilotonnes","2.1456","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1977","1977","3050","FAO TIER 1","tonnes","741467","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1977","1977","3050","FAO TIER 1","kilotonnes","0.0519","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1977","1977","3050","FAO TIER 1","kilotonnes","2.002","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1978","1978","3050","FAO TIER 1","tonnes","797222","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1978","1978","3050","FAO TIER 1","kilotonnes","0.0558","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1978","1978","3050","FAO TIER 1","kilotonnes","2.1525","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1979","1979","3050","FAO TIER 1","tonnes","791554","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1979","1979","3050","FAO TIER 1","kilotonnes","0.0554","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1979","1979","3050","FAO TIER 1","kilotonnes","2.1372","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1980","1980","3050","FAO TIER 1","tonnes","800440","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1980","1980","3050","FAO TIER 1","kilotonnes","0.056","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1980","1980","3050","FAO TIER 1","kilotonnes","2.1612","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1981","1981","3050","FAO TIER 1","tonnes","808009","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1981","1981","3050","FAO TIER 1","kilotonnes","0.0566","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1981","1981","3050","FAO TIER 1","kilotonnes","2.1816","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1982","1982","3050","FAO TIER 1","tonnes","812832","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1982","1982","3050","FAO TIER 1","kilotonnes","0.0569","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1982","1982","3050","FAO TIER 1","kilotonnes","2.1946","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1983","1983","3050","FAO TIER 1","tonnes","820000","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1983","1983","3050","FAO TIER 1","kilotonnes","0.0574","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1983","1983","3050","FAO TIER 1","kilotonnes","2.214","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1984","1984","3050","FAO TIER 1","tonnes","830000","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1984","1984","3050","FAO TIER 1","kilotonnes","0.0581","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1984","1984","3050","FAO TIER 1","kilotonnes","2.241","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1985","1985","3050","FAO TIER 1","tonnes","804000","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1985","1985","3050","FAO TIER 1","kilotonnes","0.0563","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1985","1985","3050","FAO TIER 1","kilotonnes","2.1708","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1986","1986","3050","FAO TIER 1","tonnes","723000","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1986","1986","3050","FAO TIER 1","kilotonnes","0.0506","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1986","1986","3050","FAO TIER 1","kilotonnes","1.9521","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7245","Biomass burned (dry matter)","56","Maize","1987","1987","3050","FAO TIER 1","tonnes","760765","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7230","Emissions (N2O)","56","Maize","1987","1987","3050","FAO TIER 1","kilotonnes","0.0533","Fc","Calculated data",""
"GB","Burning - Crop Residues","59","Egypt","7225","Emissions (CH4)","56","Maize","1987","1987","3050","FAO TIER 1","kilotonnes","2.0541","Fc","Calculated data",""
