year,barley_ha,maize_ha,rice_paddy_ha,rye_ha,sorghum_ha,wheat_ha
1961,50892,673399,226000,,192124,581409
1962,54976,769464,349000,,191042,611226
1963,50725,722958,403000,,203000,565000
1964,52951,697858,404000,,208196,544393
1965,52595,526000,356000,,210000,481000
1966,41000,662000,355000,,217474,542000
1967,64700,628000,452000,,219658,530000
1968,65000,655000,507000,,225000,602000
1969,62000,626000,502000,,199028,531000
1970,36967,633481,480000,,210040,551145
1971,31926,641042,477631,,207520,569628
1972,40748,646083,481412,,202899,523420
1973,36128,695652,418820,,204579,524867
1974,32346,737950,442344,,210750,577000
1975,41830,768640,442213,,205487,585592
1976,44794,794677,453030,,199388,586000
1977,40627,741467,436652,,171839,509304
1978,49103,797222,434968,,182949,579710
1979,45298,791554,438891,,171082,587231
1980,40122,800440,408374,,172234,556995
1981,38310,808009,401685,,173376,587830
1982,45898,812832,430758,,160813,576917
1983,50825,820000,423000,,165000,554500
1984,53100,830000,413711,,153000,495034
1985,52500,804000,388600,,143000,498000
1986,55000,723000,423400,,155680,507000
1987,47000,760765,412940,,133165,577000
1988,37387,823357,351600,,131905,597350
1989,49679,841840,413266,8000,128565,643921
1990,53350,830174,435908,8500,134193,821301
1991,64575,868808,462458,7500,136016,930702
1992,104089,826297,511000,7500,149389,878846
1993,60410,829065,539071,8800,146055,912324
1994,62129,865482,579177,9500,158030,886950
1995,188143,735874,588538,11000,147697,1055384
1996,44524,742966,590449,11500,138686,1017192
1997,57705,814336,651207,12000,155975,1044593
1998,60000,876987,517832,12500,158232,1017282
1999,56764,817224,655210,12500,165403,999998
2000,48896,843029,659217,13000,162597,1034985
2001,30899,873035,563021,15000,148764,983741
2002,33007,828132,650286,15000,156217,1029592
2003,49009,834103,633570,15000,167232,1053016
2004,59454,788520,645670,15000,152402,1094741
2005,61830,868210,613300,26000,152000,1253820
2006,90115,761524,670470,37500,156000,1286750
2007,102940,775910,704054,39000,148660,1140979
2008,76432,936254,745092,47500,154103,1226651
2009,94980,983081,575467,49000,141253,1335295
2010,87752,968519,459525,49000,140157,1287627
2011,67520,888329,593185,47025,156986,1284946
2012,82504,1041345,620285,45000,142744,1336234
2013,78960,1030339,597099,44500,141627,1418708
2014,60480,1039241,573704,45000,148465,1425060
2015,26132,1060996,510853,45710,150197,1457506
2016,25147,1027682,568688,47380,148071,1408887
2017,24292,1096680,549688,46077,152171,1227611
2018,22519,680025,361075,46313,154925,1326401
2019,30470,994818,799032,46536,153546,1410912
