year,barley_hg_ha,maize_hg_ha,rice_paddy_hg_ha,rye_hg_ha,sorghum_hg_ha,wheat_hg_ha
1961,26116,24014,50531,,35446,24697
1962,26611,26040,58395,,34487,26064
1963,26488,25824,55062,,35911,26425
1964,26850,27716,50396,,35526,27551
1965,24642,40703,50253,,38381,26445
1966,24895,35891,47268,,39503,27030
1967,17620,34506,50398,,40095,24509
1968,19385,35115,51105,,40311,25349
1969,18871,37827,51016,,40849,24049
1970,22723,37839,54250,,41611,27561
1971,24118,36565,53047,,41134,30406
1972,26750,37472,52076,,40956,30912
1973,26779,36053,54319,,41682,36926
1974,27439,35792,50677,,39129,32686
1975,28250,36175,54803,,37710,34722
1976,27503,38343,50770,,38066,33447
1977,27544,36749,52039,,37752,33320
1978,27127,39099,54050,,37223,33344
1979,27018,37119,57212,,37169,31606
1980,26659,40366,58331,,37333,31175
1981,26969,40936,55675,,37670,32974
1982,26318,41181,56656,,37078,34962
1983,25908,42793,57730,,37636,35996
1984,27223,44554,54058,,36667,36668
1985,27619,45846,59478,,38252,37590
1986,30364,49903,57747,,38926,38028
1987,31489,47571,58265,,41377,47158
1988,32097,49650,60637,,44426,47510
1989,27778,53804,64825,20000,45581,49416
1990,26617,57803,72663,19412,46920,51967
1991,18738,58951,74554,20000,49724,48163
1992,22481,61346,76511,20000,51247,52546
1993,21994,60780,77184,19886,53366,52970
1994,20834,59065,79130,20000,46272,50026
1995,19575,61630,81356,20000,44770,54221
1996,26844,69523,82910,20000,43520,56384
1997,21762,71298,84152,20000,50427,55994
1998,24670,72257,86401,20000,56077,59896
1999,20146,75174,88780,20000,57692,63467
2000,20327,76800,91025,20000,57885,63422
2001,30391,69798,92833,20000,57964,63580
2002,30538,77656,93889,20000,57756,64345
2003,28861,78293,97484,20000,57351,65001
2004,27430,79087,98384,20000,56674,65567
2005,27013,81607,99874,20000,56118,64929
2006,16967,83705,100750,20000,56859,64303
2007,17325,80463,97675,20000,56763,64673
2008,19526,79053,97349,20000,56258,65031
2009,15626,78184,95930,20000,55287,63829
2010,13346,72700,94217,20000,50060,55741
2011,18112,77409,95670,20013,53457,65428
2012,13150,77723,95296,20000,53034,65823
2013,16703,77223,95865,20000,53777,66682
2014,16905,77556,95300,20004,54158,61752
2015,38524,73546,94312,20002,47956,65919
2016,39667,76071,93353,19999,48881,66311
2017,40205,77895,90245,19996,53057,68597
2018,36594,75162,86511,19994,51951,62942
2019,32962,74888,83726,19991,51583,63789
