ID,Cateogry,Unit,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
23,    Households ,mio m3/y,,,2870,,,3334,3534,3734,5974,4544,5551,6051,,,,,,,,,,
24,"    Agriculture, forestry and fishing (ISIC 01-03)",mio m3/y,,,45900,46050,47100,47380,49500,49900,55100,50800,53000,53000,60500,60900,61500,62100,62350,62350,62150,,,
25,"        of which for: 
        Irrigation in agriculture",mio m3/y,,,44900,45050,46500,46780,,,,,,,,,,,,,,,,
26,    Mining and quarrying (ISIC 05-09),mio m3/y,,,,,,,,,,,,,,,,,,,,,,
27,    Manufacturing (ISIC 10-33),mio m3/y,,,1630,1040,1070,1080,1090,1100,2500,2350,2999,2999,1350,1200,1200,1200,1200,2800,1200,,,
28,"    Electricity, gas, steam and air conditioning supply  (ISIC 35)",mio m3/y,,,,,,,,,,,,,,,,,,,,,,
29,"    of which for:
    Electric power generation, transmission and distribution (ISIC 351)",mio m3/y,,,,,,,,,,,,,,,,,,,,,,
30,Construction (ISIC 41-43),mio m3/y,,,,,,,,,,,,,,,,,,,,,,
31,    Other economic activities,mio m3/y,,,,,,,,,,,,,,,,,,,,,,
