Line,Category,Unit,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Gross freshwater supplied by water supply industry (ISIC 36),mio m3/y,,,5300,,,5874,6074,6274,8504,7675,9000,9020,10483,8505,8919,8788,8867,8889,,,,
2,Losses during transport by ISIC 36,mio m3/y,,,1800,,,2550,2550,2550,2550,2455,2100,2100,,,,,,2760,,,,
3,Net freshwater supplied by water supply industry (ISIC 36)  (=1-2) (=4+5+6+7+8+10+11),mio m3/y,,,3500,,,3324,3524,3724,5954,5220,6900,6920,,,,,,6129,,,,
,of which supplied to:,,,,,,,,,,,,,,,,,,,,,,,
4,Households,mio m3/y,1972,2264,2870,,,3240,3240,3240,5954,4070,5550,5570,,,,,,,,,,
5,"Agriculture, forestry and fishing (ISIC 01-03)",mio m3/y,,,,,,,,,,,,,,,,,,,,,,
6,Mining and quarrying (ISIC 05-09),mio m3/y,,,,,,,,,,,,,,,,,,,,,,
7,Manufacturing (ISIC 10-33),mio m3/y,,,630,,,,,,,1150,1350,1350,,,,,,,,,,
8,"   Electricity, gas, steam and air conditioning supply  (ISIC 35)",mio m3/y,,,,,,,,,,,,,,,,,,,,,,
9,"of which to:
Electric power generation, transmission and distribution (ISIC 351)",mio m3/y,,,,,,,,,,,,,,,,,,,,,,
10,Construction (ISIC 41-43),mio m3/y,,,,,,,,,,,,,,,,,,,,,,
11,Other economic activities,mio m3/y,,,,,,,,,,,,,,,,,,,,,,
,Population supplied by water supply industry (ISIC 36),,,,,,,,,,,,,,,,,,,,,,,
12,Total population supplied by water supply industry (ISIC 36),%,,,,,,,,,,,,98,,,,,,98,,,,
13,Urban population supplied by water supply industry (ISIC 36),%,,,,,,,,,,,,,,,,,,100,,,,
14,Rural population supplied by water supply industry (ISIC 36),%,,,,,,,,,,,,,,,,,,95,,,,
