Year,"Government agencies, City Councils thousand cubic meters","Government agencies, New Cities thousand cubic meters","Government agencies, Water Bodies thousand cubic meters","Government agencies, Water Companies thousand cubic meters","Housing units, City Councils thousand cubic meters","Housing units, New Cities thousand cubic meters","Housing units, Water Bodies thousand cubic meters","Housing units, Water Companies thousand cubic meters","Investment Companies Places, City Councils thousand cubic meters","Investment Companies Places, New Cities thousand cubic meters","Investment Companies Places, Water Bodies thousand cubic meters","Investment Companies Places, Water Companies thousand cubic meters","Loss networks, City Councils thousand cubic meters","Loss networks, New Cities thousand cubic meters","Loss networks, Water Bodies thousand cubic meters","Loss networks, Water Companies thousand cubic meters","Manufacturing Plants, Large, City Councils thousand cubic meters","Manufacturing Plants, Large, New Cities thousand cubic meters","Manufacturing Plants, Large, Water Bodies thousand cubic meters","Manufacturing Plants, Large, Water Companies thousand cubic meters","Number of subscriptions, City Councils thousand cubic meters","Number of subscriptions, New Cities thousand cubic meters","Number of subscriptions, Water Bodies thousand cubic meters","Number of subscriptions, Water Companies thousand cubic meters","Other (Non-residential units), City Councils thousand cubic meters","Other (Non-residential units), New Cities thousand cubic meters","Other (Non-residential units), Water Bodies thousand cubic meters","Other (Non-residential units), Water Companies thousand cubic meters","Shops, City Councils thousand cubic meters","Shops, New Cities thousand cubic meters","Shops, Water Bodies thousand cubic meters","Shops, Water Companies thousand cubic meters","Total Water consumed, City Councils thousand cubic meters","Total Water consumed, New Cities thousand cubic meters","Total Water consumed, Water Bodies thousand cubic meters","Total Water consumed, Water Companies thousand cubic meters","Total water produced, City Councils thousand cubic meters","Total water produced, New Cities thousand cubic meters","Total water produced, Water Bodies thousand cubic meters","Total water produced, Water Companies thousand cubic meters","Workshops and factories, Small, City Councils thousand cubic meters","Workshops and factories, Small, New Cities thousand cubic meters","Workshops and factories, Small, Water Bodies thousand cubic meters","Workshops and factories, Small, Water Companies thousand cubic meters"
2007,262180.0,116924.0,27022.0,897376.0,674151.0,376637.0,65235.0,2528739.0,61774.0,36746.0,735.0,82410.0,287032.0,196887.0,26564.0,1007703.0,23807.0,38570.0,1286.0,69801.0,1366212.0,842756.0,126018.0,4912032.0,21732.0,51105.0,1198.0,148828.0,30402.0,15753.0,3162.0,127145.0,1079180.0,645869.0,99454.0,3904329.0,1366212.0,842756.0,126018.0,4912032.0,5134.0,10134.0,816.0,50030.0
2008,323918.0,139925.0,27125.0,789544.0,1202795.0,405291.0,66973.0,2833117.0,81103.0,30954.0,870.0,61826.0,309360.0,156456.0,26848.0,1249148.0,37924.0,47899.0,1341.0,92653.0,2084547.0,872487.0,127883.0,5487636.0,63298.0,58872.0,632.0,276211.0,51105.0,20464.0,3224.0,132851.0,1775187.0,716031.0,101035.0,4238488.0,2084547.0,872487.0,127883.0,5487636.0,15044.0,12626.0,870.0,52286.0
2009,48070.0,,29426.0,956720.0,175363.0,,72030.0,4163346.0,10527.0,,4330.0,200101.0,69437.0,,163770.0,2234237.0,6398.0,,2581.0,248273.0,340309.0,,283288.0,8528790.0,14152.0,,3824.0,297914.0,13582.0,,4616.0,318922.0,270872.0,,119518.0,6294553.0,340309.0,,283288.0,8528790.0,2780.0,,2711.0,109277.0
2010,63022.0,,23954.0,1497930.0,179558.0,,75078.0,5157066.0,9043.0,,1405.0,131406.0,63758.0,,31052.0,2155209.0,3838.0,,1144.0,194869.0,336993.0,,150457.0,9995837.0,8119.0,,9235.0,320577.0,8119.0,,7520.0,436040.0,273235.0,,119405.0,7840628.0,336993.0,,150457.0,9995837.0,1536.0,,1069.0,102740.0
2011,65060.0,,21066.0,1041488.0,170457.0,,70006.0,4370721.0,2934.0,,803.0,113764.0,69659.0,,30945.0,1448494.0,3430.0,,1008.0,194650.0,329808.0,,138606.0,8036207.0,8843.0,,8849.0,591008.0,8124.0,,5703.0,193194.0,260149.0,,107661.0,6587713.0,329808.0,,138606.0,8036207.0,1301.0,,226.0,82888.0
2012,14243.0,,22919.0,905907.0,33872.0,,71235.0,4284668.0,3732.0,,733.0,103646.0,12990.0,,27302.0,1775296.0,3624.0,,957.0,201874.0,77586.0,,138588.0,8455319.0,3351.0,,8972.0,797611.0,3474.0,,6242.0,217227.0,64596.0,,111286.0,6680023.0,77586.0,,138588.0,8455319.0,2300.0,,228.0,169090.0
2013,,,,694997.0,,,,5006628.0,,,,194162.0,,,,2265228.0,,,,187854.0,,,,9641808.0,,,,839151.0,,,,324401.0,,,,7376580.0,,,,9641808.0,,,,129387.0
