Year,"Agriculture, forestry and fishing (ISIC 01-03)mio m3/y",Construction (ISIC 41-43)mio m3/y,Desalinated watermio m3/y,"Electricity, gas, steam and air conditioning supply  (ISIC 35)mio m3/y",Exports of watermio m3/y,Households mio m3/y,Imports of watermio m3/y,Irrigation in agriculturemio m3/y,Manufacturing (ISIC 10-33)mio m3/y,Mining and quarrying (ISIC 05-09)mio m3/y,Other economic activitiesmio m3/y,Reused watermio m3/y,Water supply industry (ISIC 36)mio m3/y
1990,,,,,,,,,,,,,
1995,,,,,,,,,,,,,
2000,,,,,,,,,,,,,
2001,,,,,,,,,,,,,
2002,,,,,,,,,,,,,
2003,,,75.0,,,,,,,,,10200.0,
2004,51600.0,,60.0,,0.0,0.0,0.0,,1080.0,,,6200.0,6074.0
2005,51600.0,,60.0,,0.0,0.0,0.0,,1100.0,,,6600.0,6274.0
2006,51800.0,,60.0,,0.0,0.0,0.0,,1100.0,,,7000.0,6574.0
2007,50800.0,,75.0,,0.0,0.0,0.0,,1200.0,,,10200.0,8030.0
2008,53000.0,,75.0,,0.0,0.0,0.0,,1649.0,,,15200.0,9000.0
2009,53000.0,,75.0,,0.0,0.0,0.0,,1649.0,,,15200.0,9500.0
2010,,,,,,,,,,,,,
2011,,,,,,,,,,,,,
2012,,,,,,,,,,,,,
2013,,,,,,,,,,,,,
2014,,,,,,,,,,,,,
2015,,,100.0,,0.0,0.0,0.0,,2800.0,,,20500.0,9200.0
2016,,,,,,,,,,,,,
2017,,,,,,,,,,,,,
2018,,,,,,,,,,,,,
2019,,,,,,,,,,,,,
