Year,Permanent water(Percent of total country area),Permanent water(Square kilometers),Seasonal water(Square kilometers),Seasonal water(Percent of total country area)
1984,0.50653,4975.0,1778.0,0.18103
2015,0.6732,6612.0,2770.0,0.28203
