Year,Renewable internal freshwater resources per capita (cubic meters)
1962,35.57167126
1967,31.19491563
1972,27.69878239
1977,24.79569033
1982,21.95905756
1987,19.23384073
1992,17.04541232
1997,15.41015618
2002,13.98894012
2007,12.78247284
2012,11.57109559
2017,10.36886297
