"location","variable","Unit","Date","Value"
"Cairo","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2009","32831"
"Cairo","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2010","51038"
"Cairo","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2011","74000"
"Cairo","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2012","74480"
"Cairo","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2013","7449"
"Cairo","Investment Companies Places, Water Companies","thousand cubic meters","2007","12480"
"Cairo","Investment Companies Places, Water Companies","thousand cubic meters","2008","13865"
"Cairo","Investment Companies Places, Water Companies","thousand cubic meters","2009","29969"
"Cairo","Investment Companies Places, Water Companies","thousand cubic meters","2010","26124"
"Cairo","Investment Companies Places, Water Companies","thousand cubic meters","2011","22440"
"Cairo","Investment Companies Places, Water Companies","thousand cubic meters","2012","29728"
"Cairo","Investment Companies Places, Water Companies","thousand cubic meters","2013","60430"
"Cairo","Other (Non-residential units), Water Companies","thousand cubic meters","2007","32090"
"Cairo","Other (Non-residential units), Water Companies","thousand cubic meters","2008","4525"
"Cairo","Other (Non-residential units), Water Companies","thousand cubic meters","2009","9629"
"Cairo","Other (Non-residential units), Water Companies","thousand cubic meters","2010","154908"
"Cairo","Other (Non-residential units), Water Companies","thousand cubic meters","2011","421747"
"Cairo","Other (Non-residential units), Water Companies","thousand cubic meters","2012","370624"
"Cairo","Other (Non-residential units), Water Companies","thousand cubic meters","2013","514925"
"Cairo","Loss networks, Water Companies","thousand cubic meters","2007","473903"
"Cairo","Loss networks, Water Companies","thousand cubic meters","2008","523498"
"Cairo","Loss networks, Water Companies","thousand cubic meters","2009","742501"
"Cairo","Loss networks, Water Companies","thousand cubic meters","2010","461550"
"Cairo","Loss networks, Water Companies","thousand cubic meters","2011","435974"
"Cairo","Loss networks, Water Companies","thousand cubic meters","2012","378441"
"Cairo","Loss networks, Water Companies","thousand cubic meters","2013","446326"
"Cairo","Number of subscriptions, Water Companies","thousand cubic meters","2007","98588"
"Cairo","Number of subscriptions, Water Companies","thousand cubic meters","2008","1223161"
"Cairo","Number of subscriptions, Water Companies","thousand cubic meters","2009","949662"
"Cairo","Number of subscriptions, Water Companies","thousand cubic meters","2010","1012168"
"Cairo","Number of subscriptions, Water Companies","thousand cubic meters","2011","1081195"
"Cairo","Number of subscriptions, Water Companies","thousand cubic meters","2012","1125689"
"Cairo","Number of subscriptions, Water Companies","thousand cubic meters","2013","1158619"
"Cairo","Total Water consumed, New Cities","thousand cubic meters","2007","102261"
"Cairo","Total Water consumed, New Cities","thousand cubic meters","2008","131019"
"Cairo","Housing units, New Cities","thousand cubic meters","2007","54943"
"Cairo","Housing units, New Cities","thousand cubic meters","2008","70955"
"Cairo","Government agencies, New Cities","thousand cubic meters","2007","1787"
"Cairo","Government agencies, New Cities","thousand cubic meters","2008","25583"
"Cairo","Shops, New Cities","thousand cubic meters","2007","1418"
"Cairo","Shops, New Cities","thousand cubic meters","2008","5339"
"Cairo","Workshops and factories, Small, New Cities","thousand cubic meters","2007","1098"
"Cairo","Workshops and factories, Small, New Cities","thousand cubic meters","2008","446"
"Cairo","Manufacturing Plants, Large, New Cities","thousand cubic meters","2007","1635"
"Cairo","Manufacturing Plants, Large, New Cities","thousand cubic meters","2008","3286"
"Cairo","Investment Companies Places, New Cities","thousand cubic meters","2007","19125"
"Cairo","Investment Companies Places, New Cities","thousand cubic meters","2008","7172"
"Cairo","Other (Non-residential units), New Cities","thousand cubic meters","2007","22255"
"Cairo","Other (Non-residential units), New Cities","thousand cubic meters","2008","18238"
"Cairo","Loss networks, New Cities","thousand cubic meters","2007","57056"
"Cairo","Loss networks, New Cities","thousand cubic meters","2008","26110"
"Cairo","Total water produced, New Cities","thousand cubic meters","2007","159317"
"Cairo","Total water produced, New Cities","thousand cubic meters","2008","157129"
"Cairo","Number of subscriptions, New Cities","thousand cubic meters","2007","97405"
"Cairo","Number of subscriptions, New Cities","thousand cubic meters","2008","113454"
"Cairo","Housing units, Water Companies","thousand cubic meters","2007","1169504"
"Cairo","Housing units, Water Companies","thousand cubic meters","2008","1312156"
"Cairo","Housing units, Water Companies","thousand cubic meters","2009","825129"
"Cairo","Housing units, Water Companies","thousand cubic meters","2010","952970"
"Cairo","Housing units, Water Companies","thousand cubic meters","2011","926701"
"Cairo","Housing units, Water Companies","thousand cubic meters","2012","978952"
"Cairo","Housing units, Water Companies","thousand cubic meters","2013","981165"
"Cairo","Total water produced, Water Companies","thousand cubic meters","2007","2256683"
"Cairo","Total water produced, Water Companies","thousand cubic meters","2008","2333864"
"Cairo","Total water produced, Water Companies","thousand cubic meters","2009","2017958"
"Cairo","Total water produced, Water Companies","thousand cubic meters","2010","2197860"
"Cairo","Total water produced, Water Companies","thousand cubic meters","2011","2179868"
"Cairo","Total water produced, Water Companies","thousand cubic meters","2012","2165340"
"Cairo","Total water produced, Water Companies","thousand cubic meters","2013","2276359"
"Alexandria","Total Water consumed, Water Companies","thousand cubic meters","2007","571890"
"Alexandria","Total Water consumed, Water Companies","thousand cubic meters","2008","549913"
"Alexandria","Total Water consumed, Water Companies","thousand cubic meters","2009","660987"
"Alexandria","Total Water consumed, Water Companies","thousand cubic meters","2010","784522"
"Alexandria","Total Water consumed, Water Companies","thousand cubic meters","2011","742184"
"Alexandria","Total Water consumed, Water Companies","thousand cubic meters","2012","639471"
"Alexandria","Total Water consumed, Water Companies","thousand cubic meters","2013","697647"
"Alexandria","Government agencies, Water Companies","thousand cubic meters","2007","64200"
"Alexandria","Government agencies, Water Companies","thousand cubic meters","2008","45600"
"Alexandria","Government agencies, Water Companies","thousand cubic meters","2009","46000"
"Alexandria","Government agencies, Water Companies","thousand cubic meters","2010","56200"
"Alexandria","Government agencies, Water Companies","thousand cubic meters","2011","42600"
"Alexandria","Government agencies, Water Companies","thousand cubic meters","2012","44300"
"Alexandria","Government agencies, Water Companies","thousand cubic meters","2013","44500"
"Alexandria","Shops, Water Companies","thousand cubic meters","2007","24900"
"Alexandria","Shops, Water Companies","thousand cubic meters","2008","25900"
"Alexandria","Shops, Water Companies","thousand cubic meters","2009","25800"
"Alexandria","Shops, Water Companies","thousand cubic meters","2010","25105"
"Alexandria","Shops, Water Companies","thousand cubic meters","2011","23900"
"Alexandria","Shops, Water Companies","thousand cubic meters","2012","22000"
"Alexandria","Shops, Water Companies","thousand cubic meters","2013","47336"
"Alexandria","Workshops and factories, Small, Water Companies","thousand cubic meters","2007","26800"
"Alexandria","Workshops and factories, Small, Water Companies","thousand cubic meters","2008","22000"
"Alexandria","Workshops and factories, Small, Water Companies","thousand cubic meters","2009","20000"
"Alexandria","Workshops and factories, Small, Water Companies","thousand cubic meters","2010","23540"
"Alexandria","Workshops and factories, Small, Water Companies","thousand cubic meters","2011","22000"
"Alexandria","Workshops and factories, Small, Water Companies","thousand cubic meters","2012","29600"
"Alexandria","Workshops and factories, Small, Water Companies","thousand cubic meters","2013","23666"
"Alexandria","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2007","24800"
"Alexandria","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2008","34700"
"Alexandria","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2009","93200"
"Alexandria","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2010","32100"
"Alexandria","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2011","29800"
"Alexandria","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2012","27500"
"Alexandria","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2013","22200"
"Alexandria","Investment Companies Places, Water Companies","thousand cubic meters","2007","46900"
"Alexandria","Investment Companies Places, Water Companies","thousand cubic meters","2008","16900"
"Alexandria","Investment Companies Places, Water Companies","thousand cubic meters","2009","39000"
"Alexandria","Investment Companies Places, Water Companies","thousand cubic meters","2010","41000"
"Alexandria","Investment Companies Places, Water Companies","thousand cubic meters","2011","37000"
"Alexandria","Investment Companies Places, Water Companies","thousand cubic meters","2012","35600"
"Alexandria","Investment Companies Places, Water Companies","thousand cubic meters","2013","41100"
"Alexandria","Other (Non-residential units), Water Companies","thousand cubic meters","2007","30000"
"Alexandria","Other (Non-residential units), Water Companies","thousand cubic meters","2008","68813"
"Alexandria","Other (Non-residential units), Water Companies","thousand cubic meters","2009","66187"
"Alexandria","Other (Non-residential units), Water Companies","thousand cubic meters","2010","66077"
"Alexandria","Other (Non-residential units), Water Companies","thousand cubic meters","2011","50284"
"Alexandria","Other (Non-residential units), Water Companies","thousand cubic meters","2012","53171"
"Alexandria","Other (Non-residential units), Water Companies","thousand cubic meters","2013","50445"
"Alexandria","Loss networks, Water Companies","thousand cubic meters","2007","142973"
"Alexandria","Loss networks, Water Companies","thousand cubic meters","2008","175300"
"Alexandria","Loss networks, Water Companies","thousand cubic meters","2009","283280"
"Alexandria","Loss networks, Water Companies","thousand cubic meters","2010","190000"
"Alexandria","Loss networks, Water Companies","thousand cubic meters","2011","185500"
"Alexandria","Loss networks, Water Companies","thousand cubic meters","2012","347100"
"Alexandria","Loss networks, Water Companies","thousand cubic meters","2013","344800"
"Alexandria","Number of subscriptions, Water Companies","thousand cubic meters","2007","1154348"
"Alexandria","Number of subscriptions, Water Companies","thousand cubic meters","2008","1199677"
"Alexandria","Number of subscriptions, Water Companies","thousand cubic meters","2009","1225692"
"Alexandria","Number of subscriptions, Water Companies","thousand cubic meters","2010","1295113"
"Alexandria","Number of subscriptions, Water Companies","thousand cubic meters","2011","1318044"
"Alexandria","Number of subscriptions, Water Companies","thousand cubic meters","2012","1401022"
"Alexandria","Number of subscriptions, Water Companies","thousand cubic meters","2013","1428310"
"Alexandria","Total Water consumed, New Cities","thousand cubic meters","2007","114396"
"Alexandria","Total Water consumed, New Cities","thousand cubic meters","2008","112967"
"Alexandria","Housing units, New Cities","thousand cubic meters","2007","82043"
"Alexandria","Housing units, New Cities","thousand cubic meters","2008","82211"
"Alexandria","Government agencies, New Cities","thousand cubic meters","2007","25250"
"Alexandria","Government agencies, New Cities","thousand cubic meters","2008","24100"
"Alexandria","Shops, New Cities","thousand cubic meters","2007","3431"
"Alexandria","Shops, New Cities","thousand cubic meters","2008","3600"
"Alexandria","Workshops and factories, Small, New Cities","thousand cubic meters","2007","343"
"Alexandria","Workshops and factories, Small, New Cities","thousand cubic meters","2008","365"
"Alexandria","Manufacturing Plants, Large, New Cities","thousand cubic meters","2007","1487"
"Alexandria","Manufacturing Plants, Large, New Cities","thousand cubic meters","2008","1500"
"Alexandria","Investment Companies Places, New Cities","thousand cubic meters","2007","869"
"Alexandria","Investment Companies Places, New Cities","thousand cubic meters","2008","871"
"Alexandria","Other (Non-residential units), New Cities","thousand cubic meters","2007","973"
"Alexandria","Other (Non-residential units), New Cities","thousand cubic meters","2008","320"
"Alexandria","Loss networks, New Cities","thousand cubic meters","2007","28599"
"Alexandria","Loss networks, New Cities","thousand cubic meters","2008","30028"
"Alexandria","Total water produced, New Cities","thousand cubic meters","2007","142995"
"Alexandria","Total water produced, New Cities","thousand cubic meters","2008","142995"
"Alexandria","Number of subscriptions, New Cities","thousand cubic meters","2007","27415"
"Alexandria","Number of subscriptions, New Cities","thousand cubic meters","2008","27415"
"Alexandria","Housing units, Water Companies","thousand cubic meters","2007","354290"
"Alexandria","Housing units, Water Companies","thousand cubic meters","2008","336000"
"Alexandria","Housing units, Water Companies","thousand cubic meters","2009","370800"
"Alexandria","Housing units, Water Companies","thousand cubic meters","2010","540500"
"Alexandria","Housing units, Water Companies","thousand cubic meters","2011","536600"
"Alexandria","Housing units, Water Companies","thousand cubic meters","2012","427300"
"Alexandria","Housing units, Water Companies","thousand cubic meters","2013","468400"
"Alexandria","Total water produced, Water Companies","thousand cubic meters","2007","714863"
"Alexandria","Total water produced, Water Companies","thousand cubic meters","2008","725213"
"Alexandria","Total water produced, Water Companies","thousand cubic meters","2009","944267"
"Alexandria","Total water produced, Water Companies","thousand cubic meters","2010","974522"
"Alexandria","Total water produced, Water Companies","thousand cubic meters","2011","927684"
"Alexandria","Total water produced, Water Companies","thousand cubic meters","2012","986571"
"Alexandria","Total water produced, Water Companies","thousand cubic meters","2013","1042447"
"Port-Said","Total Water consumed, Water Companies","thousand cubic meters","2009","381175"
"Port-Said","Total Water consumed, Water Companies","thousand cubic meters","2010","440825"
"Port-Said","Total Water consumed, Water Companies","thousand cubic meters","2011","452275"
"Port-Said","Total Water consumed, Water Companies","thousand cubic meters","2012","451453"
"Port-Said","Total Water consumed, Water Companies","thousand cubic meters","2013","393246"
"Port-Said","Government agencies, Water Companies","thousand cubic meters","2009","93451"
"Port-Said","Government agencies, Water Companies","thousand cubic meters","2010","119463"
"Port-Said","Government agencies, Water Companies","thousand cubic meters","2011","125148"
"Port-Said","Government agencies, Water Companies","thousand cubic meters","2012","125121"
"Port-Said","Government agencies, Water Companies","thousand cubic meters","2013","90121"
"Port-Said","Shops, Water Companies","thousand cubic meters","2009","12521"
"Port-Said","Shops, Water Companies","thousand cubic meters","2010","14106"
"Port-Said","Shops, Water Companies","thousand cubic meters","2011","14320"
"Port-Said","Shops, Water Companies","thousand cubic meters","2012","14313"
"Port-Said","Shops, Water Companies","thousand cubic meters","2013","12131"
"Port-Said","Workshops and factories, Small, Water Companies","thousand cubic meters","2009","2211"
"Port-Said","Workshops and factories, Small, Water Companies","thousand cubic meters","2010","1322"
"Port-Said","Workshops and factories, Small, Water Companies","thousand cubic meters","2011","1318"
"Port-Said","Workshops and factories, Small, Water Companies","thousand cubic meters","2012","1219"
"Port-Said","Workshops and factories, Small, Water Companies","thousand cubic meters","2013","1119"
"Port-Said","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2009","5513"
"Port-Said","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2010","5731"
"Port-Said","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2011","5443"
"Port-Said","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2012","5311"
"Port-Said","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2013","1813"
"Port-Said","Investment Companies Places, Water Companies","thousand cubic meters","2009","4150"
"Port-Said","Investment Companies Places, Water Companies","thousand cubic meters","2010","3085"
"Port-Said","Investment Companies Places, Water Companies","thousand cubic meters","2011","4008"
"Port-Said","Investment Companies Places, Water Companies","thousand cubic meters","2012","4113"
"Port-Said","Investment Companies Places, Water Companies","thousand cubic meters","2013","2117"
"Port-Said","Other (Non-residential units), Water Companies","thousand cubic meters","2009","9871"
"Port-Said","Other (Non-residential units), Water Companies","thousand cubic meters","2010","7937"
"Port-Said","Other (Non-residential units), Water Companies","thousand cubic meters","2011","6478"
"Port-Said","Other (Non-residential units), Water Companies","thousand cubic meters","2012","5932"
"Port-Said","Other (Non-residential units), Water Companies","thousand cubic meters","2013","3911"
"Port-Said","Loss networks, Water Companies","thousand cubic meters","2009","101325"
"Port-Said","Loss networks, Water Companies","thousand cubic meters","2010","131675"
"Port-Said","Loss networks, Water Companies","thousand cubic meters","2011","120225"
"Port-Said","Loss networks, Water Companies","thousand cubic meters","2012","55797"
"Port-Said","Loss networks, Water Companies","thousand cubic meters","2013","94004"
"Port-Said","Number of subscriptions, Water Companies","thousand cubic meters","2009","29868"
"Port-Said","Number of subscriptions, Water Companies","thousand cubic meters","2010","29868"
"Port-Said","Number of subscriptions, Water Companies","thousand cubic meters","2011","29868"
"Port-Said","Number of subscriptions, Water Companies","thousand cubic meters","2012","29868"
"Port-Said","Number of subscriptions, Water Companies","thousand cubic meters","2013","29868"
"Port-Said","Total Water consumed, City Councils","thousand cubic meters","2007","165900"
"Port-Said","Total Water consumed, City Councils","thousand cubic meters","2008","333775"
"Port-Said","Total water produced, City Councils","thousand cubic meters","2007","210000"
"Port-Said","Total water produced, City Councils","thousand cubic meters","2008","422500"
"Port-Said","Number of subscriptions, City Councils","thousand cubic meters","2007","29868"
"Port-Said","Number of subscriptions, City Councils","thousand cubic meters","2008","29868"
"Port-Said","Government agencies, City Councils","thousand cubic meters","2007","44959"
"Port-Said","Government agencies, City Councils","thousand cubic meters","2008","90453"
"Port-Said","Housing units, City Councils","thousand cubic meters","2007","108830"
"Port-Said","Housing units, City Councils","thousand cubic meters","2008","218957"
"Port-Said","Shops, City Councils","thousand cubic meters","2007","5309"
"Port-Said","Shops, City Councils","thousand cubic meters","2008","10681"
"Port-Said","Workshops and factories, Small, City Councils","thousand cubic meters","2007","497"
"Port-Said","Workshops and factories, Small, City Councils","thousand cubic meters","2008","1001"
"Port-Said","Manufacturing Plants, Large, City Councils","thousand cubic meters","2007","2157"
"Port-Said","Manufacturing Plants, Large, City Councils","thousand cubic meters","2008","4339"
"Port-Said","Investment Companies Places, City Councils","thousand cubic meters","2007","1161"
"Port-Said","Investment Companies Places, City Councils","thousand cubic meters","2008","2336"
"Port-Said","Other (Non-residential units), City Councils","thousand cubic meters","2007","2987"
"Port-Said","Other (Non-residential units), City Councils","thousand cubic meters","2008","6008"
"Port-Said","Loss networks, City Councils","thousand cubic meters","2007","44100"
"Port-Said","Loss networks, City Councils","thousand cubic meters","2008","88725"
"Port-Said","Housing units, Water Companies","thousand cubic meters","2009","253458"
"Port-Said","Housing units, Water Companies","thousand cubic meters","2010","289181"
"Port-Said","Housing units, Water Companies","thousand cubic meters","2011","295560"
"Port-Said","Housing units, Water Companies","thousand cubic meters","2012","295444"
"Port-Said","Housing units, Water Companies","thousand cubic meters","2013","282034"
"Port-Said","Total water produced, Water Companies","thousand cubic meters","2009","482500"
"Port-Said","Total water produced, Water Companies","thousand cubic meters","2010","572500"
"Port-Said","Total water produced, Water Companies","thousand cubic meters","2011","572500"
"Port-Said","Total water produced, Water Companies","thousand cubic meters","2012","507250"
"Port-Said","Total water produced, Water Companies","thousand cubic meters","2013","487250"
"Dakahlia","Total Water consumed, Water Companies","thousand cubic meters","2007","210469"
"Dakahlia","Total Water consumed, Water Companies","thousand cubic meters","2008","213524"
"Dakahlia","Total Water consumed, Water Companies","thousand cubic meters","2009","306867"
"Dakahlia","Total Water consumed, Water Companies","thousand cubic meters","2010","324336"
"Dakahlia","Total Water consumed, Water Companies","thousand cubic meters","2011","328107"
"Dakahlia","Total Water consumed, Water Companies","thousand cubic meters","2012","358901"
"Dakahlia","Total Water consumed, Water Companies","thousand cubic meters","2013","372502"
"Dakahlia","Government agencies, Water Companies","thousand cubic meters","2007","49110"
"Dakahlia","Government agencies, Water Companies","thousand cubic meters","2008","51311"
"Dakahlia","Government agencies, Water Companies","thousand cubic meters","2009","62107"
"Dakahlia","Government agencies, Water Companies","thousand cubic meters","2010","20269"
"Dakahlia","Government agencies, Water Companies","thousand cubic meters","2011","18356"
"Dakahlia","Government agencies, Water Companies","thousand cubic meters","2012","21351"
"Dakahlia","Government agencies, Water Companies","thousand cubic meters","2013","3794"
"Dakahlia","Shops, Water Companies","thousand cubic meters","2007","5720"
"Dakahlia","Shops, Water Companies","thousand cubic meters","2008","6443"
"Dakahlia","Shops, Water Companies","thousand cubic meters","2009","8001"
"Dakahlia","Shops, Water Companies","thousand cubic meters","2010","14732"
"Dakahlia","Shops, Water Companies","thousand cubic meters","2011","10500"
"Dakahlia","Shops, Water Companies","thousand cubic meters","2012","13809"
"Dakahlia","Shops, Water Companies","thousand cubic meters","2013","16803"
"Dakahlia","Workshops and factories, Small, Water Companies","thousand cubic meters","2007","827"
"Dakahlia","Workshops and factories, Small, Water Companies","thousand cubic meters","2008","1406"
"Dakahlia","Workshops and factories, Small, Water Companies","thousand cubic meters","2009","4000"
"Dakahlia","Workshops and factories, Small, Water Companies","thousand cubic meters","2010","4201"
"Dakahlia","Workshops and factories, Small, Water Companies","thousand cubic meters","2011","2005"
"Dakahlia","Workshops and factories, Small, Water Companies","thousand cubic meters","2012","2005"
"Dakahlia","Workshops and factories, Small, Water Companies","thousand cubic meters","2013","38"
"Dakahlia","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2007","2819"
"Dakahlia","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2008","3062"
"Dakahlia","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2009","5594"
"Dakahlia","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2010","5597"
"Dakahlia","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2011","4230"
"Dakahlia","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2012","4330"
"Dakahlia","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2013","2000"
"Dakahlia","Investment Companies Places, Water Companies","thousand cubic meters","2007","1420"
"Dakahlia","Investment Companies Places, Water Companies","thousand cubic meters","2008","993"
"Dakahlia","Investment Companies Places, Water Companies","thousand cubic meters","2009","2999"
"Dakahlia","Investment Companies Places, Water Companies","thousand cubic meters","2010","3958"
"Dakahlia","Investment Companies Places, Water Companies","thousand cubic meters","2011","4000"
"Dakahlia","Investment Companies Places, Water Companies","thousand cubic meters","2012","4086"
"Dakahlia","Investment Companies Places, Water Companies","thousand cubic meters","2013","19285"
"Dakahlia","Other (Non-residential units), Water Companies","thousand cubic meters","2007","19091"
"Dakahlia","Other (Non-residential units), Water Companies","thousand cubic meters","2008","7382"
"Dakahlia","Other (Non-residential units), Water Companies","thousand cubic meters","2009","8563"
"Dakahlia","Other (Non-residential units), Water Companies","thousand cubic meters","2010","361"
"Dakahlia","Other (Non-residential units), Water Companies","thousand cubic meters","2011","237"
"Dakahlia","Other (Non-residential units), Water Companies","thousand cubic meters","2012","3442"
"Dakahlia","Other (Non-residential units), Water Companies","thousand cubic meters","2013","1000"
"Dakahlia","Loss networks, Water Companies","thousand cubic meters","2007","51341"
"Dakahlia","Loss networks, Water Companies","thousand cubic meters","2008","60224"
"Dakahlia","Loss networks, Water Companies","thousand cubic meters","2009","81571"
"Dakahlia","Loss networks, Water Companies","thousand cubic meters","2010","81152"
"Dakahlia","Loss networks, Water Companies","thousand cubic meters","2011","21236"
"Dakahlia","Loss networks, Water Companies","thousand cubic meters","2012","88025"
"Dakahlia","Loss networks, Water Companies","thousand cubic meters","2013","93426"
"Dakahlia","Number of subscriptions, Water Companies","thousand cubic meters","2007","995716"
"Dakahlia","Number of subscriptions, Water Companies","thousand cubic meters","2008","1244368"
"Dakahlia","Number of subscriptions, Water Companies","thousand cubic meters","2009","943658"
"Dakahlia","Number of subscriptions, Water Companies","thousand cubic meters","2010","989272"
"Dakahlia","Number of subscriptions, Water Companies","thousand cubic meters","2011","1017995"
"Dakahlia","Number of subscriptions, Water Companies","thousand cubic meters","2012","1048093"
"Dakahlia","Number of subscriptions, Water Companies","thousand cubic meters","2013","1078847"
"Dakahlia","Housing units, Water Companies","thousand cubic meters","2007","131482"
"Dakahlia","Housing units, Water Companies","thousand cubic meters","2008","142927"
"Dakahlia","Housing units, Water Companies","thousand cubic meters","2009","215603"
"Dakahlia","Housing units, Water Companies","thousand cubic meters","2010","275218"
"Dakahlia","Housing units, Water Companies","thousand cubic meters","2011","288779"
"Dakahlia","Housing units, Water Companies","thousand cubic meters","2012","309878"
"Dakahlia","Housing units, Water Companies","thousand cubic meters","2013","329582"
"Dakahlia","Total water produced, Water Companies","thousand cubic meters","2007","261810"
"Dakahlia","Total water produced, Water Companies","thousand cubic meters","2008","273748"
"Dakahlia","Total water produced, Water Companies","thousand cubic meters","2009","388438"
"Dakahlia","Total water produced, Water Companies","thousand cubic meters","2010","405488"
"Dakahlia","Total water produced, Water Companies","thousand cubic meters","2011","349343"
"Dakahlia","Total water produced, Water Companies","thousand cubic meters","2012","446926"
"Dakahlia","Total water produced, Water Companies","thousand cubic meters","2013","465928"
"Fayoum","Total Water consumed, Water Companies","thousand cubic meters","2007","117182"
"Fayoum","Total Water consumed, Water Companies","thousand cubic meters","2008","116476"
"Fayoum","Total Water consumed, Water Companies","thousand cubic meters","2009","120576"
"Fayoum","Total Water consumed, Water Companies","thousand cubic meters","2010","131053"
"Fayoum","Total Water consumed, Water Companies","thousand cubic meters","2011","137117"
"Fayoum","Total Water consumed, Water Companies","thousand cubic meters","2012","137307"
"Fayoum","Total Water consumed, Water Companies","thousand cubic meters","2013","140719"
"Fayoum","Government agencies, Water Companies","thousand cubic meters","2007","12938"
"Fayoum","Government agencies, Water Companies","thousand cubic meters","2008","15001"
"Fayoum","Government agencies, Water Companies","thousand cubic meters","2009","13438"
"Fayoum","Government agencies, Water Companies","thousand cubic meters","2010","18409"
"Fayoum","Government agencies, Water Companies","thousand cubic meters","2011","17542"
"Fayoum","Government agencies, Water Companies","thousand cubic meters","2012","15261"
"Fayoum","Government agencies, Water Companies","thousand cubic meters","2013","16777"
"Fayoum","Shops, Water Companies","thousand cubic meters","2007","1078"
"Fayoum","Shops, Water Companies","thousand cubic meters","2008","3085"
"Fayoum","Shops, Water Companies","thousand cubic meters","2009","3818"
"Fayoum","Shops, Water Companies","thousand cubic meters","2010","3097"
"Fayoum","Shops, Water Companies","thousand cubic meters","2011","5073"
"Fayoum","Shops, Water Companies","thousand cubic meters","2012","4518"
"Fayoum","Shops, Water Companies","thousand cubic meters","2013","5527"
"Fayoum","Workshops and factories, Small, Water Companies","thousand cubic meters","2007","1720"
"Fayoum","Workshops and factories, Small, Water Companies","thousand cubic meters","2008","3001"
"Fayoum","Workshops and factories, Small, Water Companies","thousand cubic meters","2009","3100"
"Fayoum","Workshops and factories, Small, Water Companies","thousand cubic meters","2010","3000"
"Fayoum","Workshops and factories, Small, Water Companies","thousand cubic meters","2011","2400"
"Fayoum","Workshops and factories, Small, Water Companies","thousand cubic meters","2012","4274"
"Fayoum","Workshops and factories, Small, Water Companies","thousand cubic meters","2013","3017"
