"location","variable","Unit","Date","Value"
"Cairo","Total Water consumed, Water Companies","thousand cubic meters","2007","1782780"
"Cairo","Total Water consumed, Water Companies","thousand cubic meters","2008","1810366"
"Cairo","Total Water consumed, Water Companies","thousand cubic meters","2009","1275457"
"Cairo","Total Water consumed, Water Companies","thousand cubic meters","2010","1736310"
"Cairo","Total Water consumed, Water Companies","thousand cubic meters","2011","1743894"
"Cairo","Total Water consumed, Water Companies","thousand cubic meters","2012","1786899"
"Cairo","Total Water consumed, Water Companies","thousand cubic meters","2013","1830033"
"Cairo","Government agencies, Water Companies","thousand cubic meters","2007","483133"
"Cairo","Government agencies, Water Companies","thousand cubic meters","2008","399882"
"Cairo","Government agencies, Water Companies","thousand cubic meters","2009","212479"
"Cairo","Government agencies, Water Companies","thousand cubic meters","2010","286437"
"Cairo","Government agencies, Water Companies","thousand cubic meters","2011","243916"
"Cairo","Government agencies, Water Companies","thousand cubic meters","2012","246697"
"Cairo","Government agencies, Water Companies","thousand cubic meters","2013","141149"
"Cairo","Shops, Water Companies","thousand cubic meters","2007","57049"
"Cairo","Shops, Water Companies","thousand cubic meters","2008","50983"
"Cairo","Shops, Water Companies","thousand cubic meters","2009","139954"
"Cairo","Shops, Water Companies","thousand cubic meters","2010","235469"
"Cairo","Shops, Water Companies","thousand cubic meters","2011","24416"
"Cairo","Shops, Water Companies","thousand cubic meters","2012","25857"
"Cairo","Shops, Water Companies","thousand cubic meters","2013","109153"
"Cairo","Workshops and factories, Small, Water Companies","thousand cubic meters","2007","5348"
"Cairo","Workshops and factories, Small, Water Companies","thousand cubic meters","2008","5000"
"Cairo","Workshops and factories, Small, Water Companies","thousand cubic meters","2009","25466"
"Cairo","Workshops and factories, Small, Water Companies","thousand cubic meters","2010","29364"
"Cairo","Workshops and factories, Small, Water Companies","thousand cubic meters","2011","30674"
"Cairo","Workshops and factories, Small, Water Companies","thousand cubic meters","2012","60561"
"Cairo","Workshops and factories, Small, Water Companies","thousand cubic meters","2013","15762"
"Cairo","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2007","23176"
"Cairo","Manufacturing Plants, Large, Water Companies","thousand cubic meters","2008","23955"
