year,population_total,agricultural_land_sq_km,animals_production_head,cereal_yield_kg_per_hectare,co2_emissions_kt,transpiration_sum,evaporation_sum,eti_sum,npp_sum,ret_sum,gwp_mean,renewable_internal_freshwater_resources_per_capita_cubic_meters,land_area_equipped_for_irrigation_ha,water_use_efficiency_united_states_dollars_per_cubic_meter,level_of_water_stress_freshwater_withdrawal_as_a_proportion_of_available_freshwater_resources,methane_emissions_kt_of_co2_equivalent,nitrous_oxide_emissions_thousand_metric_tons_of_co2_equivalent,climatic_water_deficit_annual_kg_m2,potential_evapotranspiration_annual_kg_m2,wapor_gross_water_productivity_annual_kg_m3,wapor_net_primary_production_annual_g_m2,wapor_reference_evapotranspiration_annual_mm,freshwater_abstracted_fresh_surface_water_abstracted_fresh_groundwater_abstracted_mio_m3_y,_agriculture_forestry_and_fishing_isic_01_03_mio_m3_y,_manufacturing_isic_10_33_mio_m3_y,rainfall_mm,mintemp_c,maxtemp_c,cereal_crops_production_ton,cereal_crops_yield_hg_ha,harvested_area_of_cereal_crops_ha,nile
1960,26632891.0,,,,16054.126,,,,,,,,,,,,,,,,,,,,,,,,,,,815.0
1961,27366239.0,25680.0,4868000.0,2905.7,17088.22,,,,,,,,2568.0,,,,,,,,,,,,,,,,5770680.0,160804.0,1723824.0,1020.0
1962,28112258.0,25050.0,4997000.0,3259.6,18595.357,,,,,,,35.57167126,2505.0,,,,,,,,,,,,,,,,7799279.0,171597.0,1975708.0,906.0
1963,28871383.0,24900.0,5134000.0,3312.8,21554.626,,,,,,,,2490.0,,,,,,,,,,,,,,,,7922435.0,169710.0,1944683.0,901.0
1964,29644875.0,25060.0,5271000.0,3330.1,25522.32,,,,,,,,2506.0,,,,,,,,,,,,,,,,7709919.0,168039.0,1907398.0,1170.0
1965,30433024.0,26720.0,5417000.0,3775.6,27641.846,,,,,,,,2672.0,,,,,,,,,,,,,,,,7330869.0,180424.0,1625595.0,912.0
1966,31237597.0,27800.0,5580000.0,3565.5,26563.748,,,,,,,,2780.0,,,,,,,,,,,,,,,,7599374.0,174587.0,1817474.0,746.0
1967,32056506.0,28010.0,5754000.0,3557.3,19677.122,,,,,,,31.19491563,2801.0,,,,,,,,,,,,,,,,8258153.0,167128.0,1894358.0,919.0
1968,32881852.0,28010.0,6552000.0,3627.1,22904.082,,,,,,,,2801.0,,,,,,,,,,,,,,,,9178197.0,171265.0,2054000.0,718.0
1969,33703127.0,28350.0,6949000.0,3716.6,19695.457,,,,,,,,2835.0,,,,,,,,,,,,,,,,8844202.0,172612.0,1920028.0,714.0
1970,34513851.0,28430.0,7105000.0,3911.8,21686.638,,,,,,,,2843.0,,,20777.6,7888.601,,,,,,,,,,,,9214868.0,183984.0,1911633.0,740.0
1971,35311905.0,28520.0,7240000.0,3911.5,23047.095,,,,,,,,2852.0,,,20622.6,7987.274,,,,,,,,,,,,9230264.0,185270.0,1927747.0,
1972,36102670.0,28550.0,7370000.0,3951.3,25511.319,,,,,,,27.69878239,2855.0,,,20403.8,8403.201,,,,,,,,,,,,9158169.0,188166.0,1894562.0,
1973,36896551.0,28550.0,7475000.0,4080.0,23795.163,,,,,,,,2855.0,,,19836.8,8248.232,,,,,,,,,,,,9188050.0,195759.0,1880046.0,
1974,37708144.0,28430.0,7566000.0,3840.4,26123.708,,,,,,,,2843.0,,,20781.7,8736.389000000001,,,,,,,,,,,,9177596.0,185723.0,2000390.0,
1975,38549133.0,28250.0,7833000.0,3978.1,31099.827,,,,,,,,2825.0,,,20993.1,9028.223,,,,,,,,,,,,9746719.0,191660.0,2043762.0,
1976,39422731.0,27300.0,7699588.0,3941.1,34495.469,,,,,,,,2730.0,,,21592.5,9215.215,,,,,,,,,,,,9723350.0,188129.0,2077889.0,
1977,40329589.0,26350.0,7736236.0,3923.8,37865.442,,,,,,,24.79569033,2635.0,,,21185.7,9508.103,,,,,,,,,,,,8970409.0,187404.0,1899889.0,
1978,41275728.0,25400.0,7789652.0,4019.3,39313.907,,,,,,,,2540.0,,,21391.4,9852.699,,,,,,,,,,,,9783363.0,190843.0,2043952.0,
1979,42267429.0,24470.0,7827668.0,3964.2,42947.904,,,,,,,,2447.0,,,21161.2,10028.965,,,,,,,,,,,,9738321.0,190124.0,2034056.0,
1980,43309063.0,24450.0,7797570.0,4094.5,45239.779,,,,,,,,2445.0,,,20803.5,14060.081,,,,,,,,,,,,9688437.0,193864.0,1978165.0,
1981,44400113.0,24680.0,8514362.0,4100.5,50978.63400000001,,,,,,,,2468.0,,,21127.1,16566.988999999998,,,,,,,,,,,,9730402.0,194224.0,2009210.0,
1982,45539295.0,24452.4,9304000.0,4203.7,56523.138,,,,,,,21.95905756,2445.0,,,21802.0,18119.934,,,,,,,,,,,,10149679.0,196195.0,2027218.0,
1983,46728284.0,24347.4,10160000.0,4321.1,57091.523,,,,,,,,2434.0,,,22093.3,17876.646,,,,,,,,,,,,10328493.0,200063.0,2013325.0,
1984,47968643.0,24582.6,10787000.0,4347.5,63838.803,,,,,,,,2458.0,,,22821.1,16894.659,,,,,,,,,,,,9946867.0,199170.0,1944845.0,
1985,49258726.0,24970.0,10804000.0,4539.2,63937.81200000001,,,,,,,,2497.0,,,23176.1,16994.076,,,,,,,,,,,,10102937.0,208785.0,1886100.0,
1986,50602360.0,25670.0,11196000.0,4696.2,74564.77799999999,,,,,,,,2567.0,,,23765.7,18603.875,,,,,,,,,,,,10384815.0,214968.0,1864080.0,
1987,51991696.0,25470.0,11804000.0,4891.6,74810.467,,,,,,,19.23384073,2547.0,,,24594.9,18463.042,,,,,,,,,,,,11049802.0,225860.0,1930870.0,
1988,53399243.0,25810.0,12607000.0,5028.8,74531.775,,,,,,,,2581.0,,,24796.3,18930.491,,,,,,,,,,,,11186044.0,234320.0,1941599.0,
1989,54788680.0,25710.0,12194000.0,5337.7,72181.228,,,,,,,,2571.0,,,26028.4,19152.73,,,,,,,,,,,,12917379.0,261404.0,2085271.0,
1990,56134478.0,26480.0,12199000.0,5702.9,86820.0,,,,,,,,2648.0,,,24980.0,15510.0,,,,,,,,,,,,15134913.0,275382.0,2283426.0,
1991,57424552.0,26430.0,26713000.0,5613.0,89390.0,,,,,,,,2643.0,,,27650.0,16060.0,,,,,,,,,3.8416666666666672,15.083333333333336,29.73333333333333,16164056.0,270130.0,2470059.0,
1992,58666812.0,29962.8,27442008.0,5898.5,92300.0,,,,,,,17.04541232,2945.0,,,30130.0,15910.0,,,,,,,,,2.983333333333334,14.541666666666664,29.08333333333333,17219045.0,284131.0,2477121.0,
1993,59880656.0,30151.8,28695726.0,5995.1,91830.0,,,,,,,,3000.0,,,32350.0,16570.0,,,,,,,,,3.633333333333333,15.291666666666664,29.875,17737468.0,286180.0,2495725.0,
1994,61095804.0,30126.6,26567971.0,5861.1,86430.0,,,,,,,,3000.0,,,34550.0,15590.0,,,,,,,,,3.7083333333333335,15.325,29.95,18068606.0,275327.0,2561268.0,
1995,62334025.0,32830.0,27734500.0,5903.7,91870.0,,,,,,,,3283.0,,,36650.0,17170.0,,,,,,,,,2.075,15.125,29.991666666666664,19290913.0,281552.0,2726636.0,
1996,63601632.0,31764.6,27554000.0,6499.1,96770.0,,,,,,,,3176.0,,,38870.0,17510.0,,,,,,,,,2.341666666666667,15.45,30.08333333333333,19807397.0,299181.0,2545317.0,
