Entity,Code,Year,Water requirement per calorie
Beef,,2012,10.19
Butter,,2012,0.72
Cereals,,2012,0.51
Chicken meat,,2012,3
Eggs,,2012,2.29
Fruits,,2012,2.09
Milk,,2012,1.82
Nuts,,2012,3.63
Oil crops,,2012,0.81
Pigmeat,,2012,2.15
Pulses,,2012,1.19
Sheep/goat meat,,2012,4.25
Starchy roots,,2012,0.47
Sugar crops,,2012,0.69
Vegetables,,2012,1.34
