Entity,Code,Year,Water requirement per tonne
Beef,,2012,15415
Butter,,2012,5553
Cereals,,2012,1644
Chicken meat,,2012,4325
Eggs,,2012,3265
Fruits,,2012,962
Milk,,2012,1020
Nuts,,2012,9063
Oil crops,,2012,2364
Pigmeat,,2012,5988
Pulses,,2012,4055
Sheep/goat meat,,2012,8763
Starchy roots,,2012,387
Sugar crops,,2012,197
Vegetables,,2012,322
