ID,Cateogry,Unit,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Fresh surface water abstracted ,mio m3/y,54733,,,,,,52880,53100,53600,54030,56150,56650,55500,55500,55500,55500,55500,55500,,,,
2,Fresh groundwater abstracted ,mio m3/y,,,,,,,5884,5884,5884,6474,7500,7500,6500,7500,7700,6700,6900,6900,,,,
3,Freshwater abstracted (=1+2),mio m3/y,,,,,,57914,58764,58984,59484,60504,63649,64149,62000,63000,63200,62200,62400,62400,,,,
4,Water returned without use,mio m3/y,,,,,,,,,,,,,,,,,,,,,,
5,Net freshwater abstracted (=3-4),mio m3/y,,,,,,,,,,,,,,,,,,,,,,
,of which abstracted by:,,,,,,,,,,,,,,,,,,,,,,,
6,Water supply industry (ISIC 36),mio m3/y,,,,,,,6074,6274,6574,8030,9000,9500,,,,,,9200,,,,
7,Households ,mio m3/y,,,,,,,0,0,0,0,0,0,,,,,,0,,,,
8,"Agriculture, forestry and fishing (ISIC 01-03)",mio m3/y,,,,,,,51600,51600,51800,50800,53000,53000,,,,,,,,,,
9,"of which for: 
Irrigation in agriculture",mio m3/y,,,,,,,,,,,,,,,,,,,,,,
10,Mining and quarrying (ISIC 05-09),mio m3/y,,,,,,,,,,,,,,,,,,,,,,
11,Manufacturing (ISIC 10-33),mio m3/y,,,,,,,1080,1100,1100,1200,1649,1649,,,,,,2800,,,,
12,"Electricity, gas, steam and air conditioning supply  (ISIC 35)",mio m3/y,,,,,,,,,,,,,,,,,,,,,,
13,"of which for:
Electric power generation, transmission and distribution (ISIC 351)",mio m3/y,,,,,,,0,0,0,0,0,0,,,,,,0,,,,
14,Construction (ISIC 41-43),mio m3/y,,,,,,,,,,,,,,,,,,,,,,
15,Other economic activities,mio m3/y,,,,,,,,,,,,,,,,,,,,,,
16,Desalinated water,mio m3/y,,,,,,75,60,60,60,75,75,75,,,,,,100,,,,
17,Reused water,mio m3/y,,,,,,10200,6200,6600,7000,10200,15200,15200,,,,,,20500,,,,
18,Imports of water,mio m3/y,,,,,,,0,0,0,0,0,0,,,,,,0,,,,
19,Exports of water,mio m3/y,,,,,,,0,0,0,0,0,0,,,,,,0,,,,
20,Total freshwater available for use (=3+14+15+16-17),mio m3/y,,,,,,68189,65014,65634,66534,70305,78924,79424,,,,,,94900,92971,,,
21,Losses during transport,mio m3/y,,,,,,,,,,,,,,,,,,2760,,,,
22,Total freshwater use (=18-19),mio m3/y,,,,,,,,,,,,,,,,,,92140,,,,
,of which used by:,,,,,,,,,,,,,,,,,,,,,,,
23,    Households ,mio m3/y,,,2870,,,3334,3534,3734,5974,4544,5551,6051,,,,,,,,,,
24,"    Agriculture, forestry and fishing (ISIC 01-03)",mio m3/y,,,45900,46050,47100,47380,49500,49900,55100,50800,53000,53000,60500,60900,61500,62100,62350,62350,62150,,,
25,"        of which for: 
        Irrigation in agriculture",mio m3/y,,,44900,45050,46500,46780,,,,,,,,,,,,,,,,
26,    Mining and quarrying (ISIC 05-09),mio m3/y,,,,,,,,,,,,,,,,,,,,,,
27,    Manufacturing (ISIC 10-33),mio m3/y,,,1630,1040,1070,1080,1090,1100,2500,2350,2999,2999,1350,1200,1200,1200,1200,2800,1200,,,
28,"    Electricity, gas, steam and air conditioning supply  (ISIC 35)",mio m3/y,,,,,,,,,,,,,,,,,,,,,,
29,"    of which for:
    Electric power generation, transmission and distribution (ISIC 351)",mio m3/y,,,,,,,,,,,,,,,,,,,,,,
30,Construction (ISIC 41-43),mio m3/y,,,,,,,,,,,,,,,,,,,,,,
31,    Other economic activities,mio m3/y,,,,,,,,,,,,,,,,,,,,,,
